system:index,EVI2,GNDVI,GVI,MSR,RDVI,estimateLAI,.geo
0_12,1.4171317177585814,0.6382498872350022,3.528678304239402,1.335263037315808,31.990641081393022,1.557,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33,1.5319783362745696,0.6537396121883656,3.776,1.5268610444517747,38.321952576032466,1.454,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_69,1.2233798289420814,0.6115732368896926,3.148975791433892,1.0639860079268422,32.50716443695154,1.269,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_71,0.9102169506793785,0.5071868583162218,2.058333333333333,0.7169132664927004,21.876607628762464,0.768,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_72,1.2001098955991807,0.5977301387137453,2.9717868338557993,1.0348274806029611,34.266837430508154,1.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_81,1.4773829580844438,0.6292397660818714,3.3943217665615144,1.432092578414475,40.564125348327096,1.403,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_88,1.0719399404047831,0.5532611432888441,2.4768883878241263,0.8849390949590571,35.250175868858086,1.408,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_124,1.0746311454043065,0.5517941773865944,2.4622356495468276,0.8879992619341153,30.438034352829924,1.024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_138,0.7325943886387253,0.5031185031185031,2.0251046025104604,0.5524174696260025,18.703270214471654,0.577,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_141,1.4875863484029823,0.6591179976162098,3.8671328671328675,1.449489742783178,35.25417908358018,1.418,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_144,1.5177001879129537,0.652686308492201,3.7584830339321353,1.5014431530156804,38.091965426032864,1.543,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_150,1.4698957282206526,0.6423841059602649,3.5925925925925926,1.4198255217175382,35.18591511338434,1.321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_151,1.4620993468023697,0.6728579988016776,4.113553113553113,1.4067677744917455,40.37129144425794,1.506,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_152,0.6936913950373159,0.4579971523493118,1.6900175131348512,0.5186527932039984,18.540036947839344,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_154,1.062824752007558,0.5694974003466204,2.6457326892109503,0.8749741199042078,30.041237132867504,0.918,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_158,1.4138286893704852,0.6255293405928615,3.340872374798061,1.3298675559530908,38.858896378838004,1.377,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_172,1.2652727365676602,0.6385852090032155,3.5338078291814945,1.117997991726561,35.47043101305092,1.507,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_188,1.5141003525088128,0.6500857632933105,3.715686274509804,1.4953030310622555,34.176545672006654,1.495,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_202,1.29161054454493,0.609717868338558,3.1244979919678713,1.1532693395760933,32.23934941621709,1.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_234,1.2476034735536259,0.6140845070422535,3.1824817518248176,1.095424681944247,23.593709182881707,0.964,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_264,0.9604395033508234,0.5280898876404494,2.238095238095238,0.7669044171975448,27.59309149451819,0.692,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_280,1.4928900990847895,0.6373864128083081,3.515513126491647,1.4586029436460033,33.62620320449684,1.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_302,0.9857811293326669,0.5281989084293511,2.2390745501285347,0.7928429140015906,30.20158262774219,0.977,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_313,0.9684529764882442,0.5277777777777778,2.235294117647059,0.7751173670117326,25.33853597329099,1.192,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_341,0.9381326223275565,0.4983454665784249,1.9868073878627968,0.7444227562973867,27.714348384599965,0.92,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_359,1.2177720921078528,0.5633293124246079,2.5801104972375692,1.057983021710106,17.48996502010494,1.472,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_365,1.0928742994395517,0.5513569220199245,2.4578866768759573,0.9083855700227268,30.532931446394326,1.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_368,1.2148148148148148,0.6116941529235382,3.1505791505791505,1.0532136456077346,31.798236107508732,1.272,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_371,0.9396029208227938,0.5035279025016036,2.0284237726098193,0.7458850003165441,28.2287077667038,0.847,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_383,1.2484598101036457,0.6122910076818798,3.158508158508159,1.0962081647467026,29.44605779446042,1.449,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_399,1.149991309889346,0.5940298507462687,2.926470588235294,0.9742872686055852,30.65203002834266,1.491,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_407,1.375293376838972,0.6396148555708391,3.549618320610687,1.2716014527581991,36.02765003593401,1.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_410,1.5290135396518376,0.5993179880647911,2.991489361702128,1.5217696234783828,33.93141401044234,1.476,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_422,0.7741252905763845,0.4744963566223746,1.8058727569331157,0.5892443184328431,21.20408163265306,0.556,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_426,1.399921223659161,0.6425498631208447,3.5951859956236323,1.3086682824907263,34.16101784690861,1.377,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_436,1.2550944794368286,0.6062413951353832,3.0792540792540795,1.1048467276349228,29.25672078268019,1.344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_442,1.282952548330404,0.6404141826168811,3.5619546247818503,1.1414866126783751,36.22382957592596,1.004,"{""type"":""MultiPoint"",""coordinates"":[]}"
