system:index,B4,EVI2,GVI,NDVI,RDVI,estimatefAPAR,.geo
4_7004,803.0,1.255649511590611,2.9588431590656286,0.6318202659330582,41.728846771885614,0.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7015,1162.0,1.003514193098852,2.616698292220114,0.5327704061117813,37.574480384913116,0.444,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7020,916.0,1.298886558509654,3.4358178053830226,0.6477600461449721,46.71513240334882,0.437,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7043,1226.0,0.814549511674536,2.069128787878788,0.45108573987015893,30.14859475727468,0.447,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7048,699.0,1.4375469202445215,3.066458982346833,0.6970747562296858,47.3549310081949,0.475,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7060,1238.0,1.0165323035291465,2.132978723404255,0.5381458683081515,39.4024216269637,0.437,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7067,895.0,0.9852707006369427,2.114842903575298,0.5251989389920424,32.247385928230585,0.545,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7087,1246.0,1.044728961178119,2.7157712305026,0.5496928080954102,40.89212053961298,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7118,498.0,1.329390304571334,3.0501672240802673,0.6589041095890411,35.605217410504814,0.463,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7121,931.0,1.1207617520995226,2.5251509054325956,0.5801578354002255,38.63607265865386,0.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7129,895.0,1.1618603833304026,2.3065420560747665,0.5962102413715317,39.69614172617987,0.488,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7149,912.0,1.3006897831668163,3.080152671755725,0.6484194294525829,46.704207098274225,0.549,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7162,1146.0,0.9139889963212554,1.9444444444444446,0.494931687968268,33.34091437223535,0.552,"{""type"":""MultiPoint"",""coordinates"":[]}"
