system:index,B8,GVI,NLI,RDVI,SGI,estimatefAPAR,.geo
0_9,1390.0,3.483870967741935,0.9996212093770344,24.4364267470514,3.797814207650273,0.282,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_41,1610.0,3.2368421052631575,0.9997322992524051,28.550119983067002,4.639769452449568,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_44,1554.0,3.17741935483871,0.9996911342700604,26.90351593553944,4.166219839142091,0.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_51,1768.0,3.6896551724137927,0.9997895176595644,31.42400814712407,5.37386018237082,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_68,1588.0,2.8265060240963855,0.9996455462730618,25.293180170650015,3.552572706935123,0.297,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_69,1988.0,3.0161616161616163,0.9997576293008466,30.381181906323718,4.150313152400835,0.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_70,1592.0,3.4222222222222225,0.9997214789075504,28.093865800737003,4.509915014164306,0.347,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_73,1902.0,3.44392523364486,0.9997302445598398,28.923474272928146,3.8975409836065573,0.345,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_92,1366.0,4.022058823529412,0.9997020738021063,26.83354112748426,4.913669064748201,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96,1390.0,3.303405572755418,0.9996605306898886,25.62199469869452,4.237804878048781,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_101,1054.0,3.1333333333333337,0.9994546529531982,20.386844631911263,3.4785478547854787,0.218,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_102,1850.0,2.8381742738589213,0.9997207110299862,28.435614859535963,3.8702928870292888,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_109,1300.0,2.8922155688622753,0.9995598601964538,22.69498184526566,3.4946236559139785,0.286,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_112,1452.0,2.903225806451613,0.9996225166002594,24.5050022471971,3.648241206030151,0.252,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_146,1248.0,2.863777089783282,0.9995699170453429,22.947232721545163,3.725373134328358,0.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_161,1670.0,3.0533980582524274,0.9997067374034214,27.655902911475625,4.083129584352078,0.346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_188,1660.0,2.971291866028708,0.9997481809338133,29.308327770984135,4.783861671469741,0.283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_189,1962.0,2.8171206225680936,0.9997236346408394,28.63438189981202,3.68796992481203,0.272,"{""type"":""MultiPoint"",""coordinates"":[]}"
