system:index,EVI2,GVI,MSR,NDGI,RDVI,estimateLAI,.geo
0_9,0.23398768368866854,1.1832884097035041,0.16237942956760107,-0.23544564657393097,11.213716073007035,0.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33,0.36346044111444664,1.448698315467075,0.25637564568880455,-0.21608643457382953,16.215338814335826,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_54,0.3375343309633204,1.3629283489096573,0.23724572859898285,-0.21371708511941212,14.853779611265002,0.507,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_67,0.3395618065957501,1.411302982731554,0.238735457822022,-0.2222222222222222,15.02133550319566,0.242,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_82,0.3438152918462881,1.3626198083067091,0.2418661325346628,-0.21009463722397476,14.893661903281325,0.185,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_84,0.23313128621861054,1.286318758815233,0.16176958825169432,-0.25759162303664923,11.181132229365044,0.116,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_111,0.2424510671781253,1.28944099378882,0.16841139381006776,-0.2529002320185615,12.338502625537707,0.189,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_154,0.3743614862500876,1.5813253012048194,0.2644685037654854,-0.2350230414746544,17.201228691151208,0.262,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_157,0.25933497161994656,0.939150401836969,0.1804932682720573,-0.16370619299087855,12.5244744887867,0.038,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_158,0.30767909785626374,1.2713310580204777,0.21542071019655362,-0.21183591123066578,12.871713311918867,0.534,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_190,0.27606757082447797,1.246031746031746,0.19252276823707612,-0.2246153846153846,13.253982412563069,0.262,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_228,0.20990717561310618,1.249647390691114,0.14528495649726725,-0.2633766233766234,10.109362856301576,0.036,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_244,0.22648011721248892,1.2329472329472329,0.15703697775880723,-0.2503617945007236,11.276817444621232,0.061,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_270,0.34065352559862416,1.4061990212071778,0.2395395650536264,-0.22059758423394787,14.759537340483728,0.423,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_284,0.24138386082213473,1.1501305483028719,0.16765174432554597,-0.22391084093211752,11.619206275208708,0.023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_291,0.2958392325085054,1.2764331210191084,0.20681304186332441,-0.21968190854870775,14.425517463195403,0.243,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_311,0.2710373868738804,1.1585365853658538,0.18890165025708852,-0.20857908847184986,12.636199167936722,0.065,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_325,0.34994365844497305,1.5063897763578273,0.24638089945836922,-0.23471882640586797,15.566864123110182,0.436,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_338,0.39635688986338347,1.3273480662983426,0.28089854051006624,-0.173043974871502,17.868827192928403,0.467,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_344,0.3456282340453761,1.4477611940298507,0.24320140694092496,-0.22593068035943517,14.943772305816744,0.373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_386,0.3144549815416584,1.2552083333333335,0.22034910359772164,-0.20455722423614708,14.955570354509057,0.313,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_388,0.21651036239434987,1.178977272727273,0.14996251812980768,-0.2446351931330472,10.190319583533721,0.021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_399,0.21997412069168332,1.1536273115220483,0.1524192706817239,-0.23711340206185566,10.266824558300726,0.103,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_421,0.23266498598119834,1.2996987951807228,0.16143873249027732,-0.26057906458797325,10.833104307084303,0.092,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_423,0.45087325265663236,1.4768472906403942,0.32221839129162744,-0.17244190786791683,17.11606012404842,0.339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_427,0.32098852686880114,1.4779969650986344,0.2251200421375282,-0.2455638236977676,14.775671572395229,0.316,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_548,0.22488383072832543,1.2950558213716108,0.1559060725913969,-0.2640845070422535,10.206298127266276,0.032,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_550,0.25860285497551894,1.2398316970546985,0.17996941133346772,-0.23333333333333334,12.148858061010873,0.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_579,0.2572355106917319,1.2085168869309837,0.17899045131347646,-0.2274532047646058,11.735813209073651,0.087,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_597,0.24382810118866202,1.152990264255911,0.16939777923413998,-0.22312263641274988,11.364253985929583,0.108,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_631,0.2782126942069132,1.2323232323232323,0.1940713762639582,-0.2204724409448819,12.735442252301336,0.163,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_665,0.2595713579397666,1.1966580976863752,0.18066257285045384,-0.22355289421157684,12.60834476651387,0.143,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_705,0.24992264299145506,1.371517027863777,0.173753739813688,-0.26507394766780434,11.551371806857933,0.215,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_720,0.2026273250916377,1.223342939481268,0.14013848018636973,-0.26209463051568316,9.635708922901648,0.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_733,0.23989656130452436,1.331955922865014,0.1665901062002216,-0.2629441624365482,11.716809409745338,0.124,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_735,0.4087815904008464,1.5570570570570572,0.2902370450632581,-0.2113676731793961,18.41878526858814,0.439,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_743,0.401627789451286,1.5533333333333332,0.2848587739380221,-0.21465968586387435,17.222031645068473,0.469,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_751,0.3772081285695311,1.4680851063829787,0.2665920097446281,-0.21212121212121213,16.235199393490838,0.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_755,0.32413065880604885,1.0977835723598437,0.22741773944981947,-0.16403269754768393,14.787272541337845,0.204,"{""type"":""MultiPoint"",""coordinates"":[]}"
