system:index,B8,GNDVI,GVI,NLI,RDVI,estimatefAPAR,.geo
2_1520,1710.0,0.6545718432510885,3.7899159663865545,0.999855692503294,34.200932737340835,0.418,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1537,1852.0,0.6513597860008916,3.7365728900255757,0.9998437396142235,34.4022816268351,0.433,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1549,2040.0,0.6306954436450839,3.4155844155844157,0.9998404587100413,35.06957671248086,0.428,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1587,2446.0,0.5893437296946069,2.8702531645569622,0.9998435667842813,36.642197696436114,0.419,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1594,1820.0,0.6463138851198552,3.6547314578005112,0.9997947318533903,31.844529735483206,0.422,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1599,1852.0,0.617467248908297,3.2283105022831053,0.999828581323877,33.63199226937732,0.409,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1713,1976.0,0.6682144364710848,4.027989821882952,0.9998724654754054,36.612326775419675,0.428,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1714,2198.0,0.6269430051813472,3.3611111111111107,0.9998356652380856,35.354527035278615,0.433,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1766,1656.0,0.6543456543456544,3.786127167630058,0.9998468576279121,33.474374707496445,0.421,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1814,2470.0,0.6384742951907131,3.532110091743119,0.999814143057727,34.531575410951056,0.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1826,2348.0,0.6873877111031261,4.397701149425288,0.9997859873979223,32.43343709922578,0.433,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1827,1852.0,0.6513597860008916,3.7365728900255757,0.9998647283956088,35.48674430140421,0.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1837,2116.0,0.6371373307543521,3.5117270788912576,0.9998668975562301,37.00200402105474,0.408,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1896,2674.0,0.6260261477652782,3.3479674796747965,0.9997913584939327,32.968104380336285,0.414,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1936,1820.0,0.6621004566210046,3.9189189189189193,0.999870193185746,35.57892565634818,0.429,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1950,2492.0,0.6470588235294118,3.666666666666667,0.9998196638534228,34.97154806856463,0.412,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1978,2344.0,0.6724937566892615,4.106753812636166,0.9998518584035686,36.93042669464817,0.414,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2015,1794.0,0.6916548797736917,4.486238532110092,0.9998744810693219,35.63385389045328,0.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2035,1742.0,0.6379877762106253,3.524675324675325,0.9998451297763048,33.89299266732572,0.408,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2125,2200.0,0.5753669889008235,2.709949409780776,0.9997888652664977,32.4388082674877,0.423,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2132,2180.0,0.6366366366366366,3.5041322314049586,0.9998594493190656,36.81705616290885,0.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2161,2574.0,0.6741463414634147,4.137724550898204,0.9998140683829926,34.667086646439216,0.432,"{""type"":""MultiPoint"",""coordinates"":[]}"
