system:index,B2,GVI,MSR,RDVI,SGI,estimateLAI,.geo
0_40,303.0,3.088631984585742,1.388367868496982,35.042075751518205,5.704301075268817,1.437,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_41,250.0,3.2368421052631575,1.1540124076823624,28.550119983067002,4.639769452449568,1.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_44,254.0,3.17741935483871,1.0411319994410186,26.90351593553944,4.166219839142091,1.438,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_51,223.0,3.6896551724137927,1.3181587914486834,31.42400814712407,5.37386018237082,1.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_68,282.0,2.8265060240963855,0.8848269700253981,25.293180170650015,3.552572706935123,1.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_69,308.0,3.0161616161616163,1.0372317375303268,30.381181906323718,4.150313152400835,1.264,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_73,290.0,3.44392523364486,0.9742190819679961,28.923474272928146,3.8975409836065573,1.342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_89,248.0,3.467889908256881,1.0691347663500996,30.45670538712074,4.281318681318681,1.358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_101,178.0,3.1333333333333337,0.8650865542342744,20.386844631911263,3.4785478547854787,1.131,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_102,306.0,2.8381742738589213,0.9673059973042548,28.435614859535963,3.8702928870292888,1.227,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_109,237.0,2.8922155688622753,0.869391252764915,22.69498184526566,3.4946236559139785,1.417,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_112,261.0,2.903225806451613,0.9100369645716679,24.5050022471971,3.648241206030151,1.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_146,224.0,2.863777089783282,0.9301225697681372,22.947232721545163,3.725373134328358,1.274,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_188,277.0,2.971291866028708,1.1872040763197524,29.308327770984135,4.783861671469741,1.143,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_189,360.0,2.8171206225680936,0.9204087910682012,28.63438189981202,3.68796992481203,1.076,"{""type"":""MultiPoint"",""coordinates"":[]}"
