system:index,B4,MSAVI2,NDGI,NDVI,RDVI,estimatefCOVER,.geo
0_33,2026.0,0.36644275133494375,-0.21608643457382953,0.22434915773353753,16.215338814335826,0.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_54,1982.0,0.3466996540864784,-0.21371708511941212,0.20972886762360446,14.853779611265002,0.187,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_59,2008.0,0.41076261198804787,-0.22439024390243903,0.258493353028065,19.02342488195254,0.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_67,2002.0,0.3482703486142782,-0.2222222222222222,0.21087899093417423,15.02133550319566,0.052,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_82,1918.0,0.3515503781759435,-0.21009463722397476,0.2132895816242822,14.893661903281325,0.065,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_84,2402.0,0.2590697173659464,-0.25759162303664923,0.148830616583983,11.181132229365044,0.004,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_106,1304.0,0.47499006149291745,-0.16169265033407573,0.3115100316789863,19.17242387861284,0.172,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_140,1860.0,0.4208836020243325,-0.13414634146341464,0.2665615141955836,18.98397132299849,0.206,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_154,2144.0,0.3745282589202361,-0.2350230414746544,0.23043790380473797,17.201228691151208,0.034,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_157,2424.0,0.282385635880928,-0.16370619299087855,0.16442605997931747,12.5244744887867,0.043,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_158,1802.0,0.32302429008313993,-0.21183591123066578,0.19265232974910393,12.871713311918867,0.197,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_159,1066.0,0.3130750454054123,-0.1811634349030471,0.18563789152024446,9.498421725678366,0.192,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_190,2388.0,0.2967890598770282,-0.2246153846153846,0.17427385892116182,13.253982412563069,0.042,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_256,2026.0,0.41844957670355143,-0.1765389082462253,0.26460980036297643,19.6418198986046,0.179,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_270,1920.0,0.3491140282330889,-0.22059758423394787,0.21149897330595482,14.759537340483728,0.119,"{""type"":""MultiPoint"",""coordinates"":[]}"
