system:index,EVI2,GVI,MSR,NDGI,RDVI,estimateLAI,.geo
0_22,0.9573932030681374,2.6654545454545455,0.7638342073763938,-0.08180300500834725,26.504461633590797,1.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23,1.2523607720300336,2.949438202247191,1.1010575194784615,0.05559673832468495,37.035026872202494,1.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_41,1.3466471234884572,2.873684210526316,1.2300163615931101,0.1242603550295858,31.2695187911465,1.178,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_44,1.4162314182402571,3.9346938775510205,1.3336550614745841,0.04925053533190578,36.89880773925651,1.696,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_55,1.066427123641054,2.617021276595745,0.8788439649978236,-0.012168141592920354,35.95743697517781,1.18,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_98,1.3167756881984194,2.5017921146953404,1.188427674444488,0.15527950310559005,22.49337093050093,1.643,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_106,1.3501344426969712,3.920517560073937,1.234809048258119,0.0074487895716946,37.66519586641907,1.604,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_110,1.2495108179124506,3.416030534351145,1.0974364218555557,-0.0019047619047619048,33.551222139323826,1.589,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_120,1.1279760565281967,2.7963737796373778,0.9484285410651779,0.0,34.18993609461876,1.184,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_129,1.4961361049541724,3.7935871743486977,1.4639533254198862,0.11758118701007839,37.85340294953697,1.683,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_133,1.2368349986497433,3.4858757062146895,1.0810836338093408,-0.01757631822386679,33.8332319660128,1.588,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_154,1.1414143908341152,2.7590361445783134,0.9641296431303061,0.012967200610221205,32.981068432666476,1.453,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_178,1.3143660752920816,2.7954144620811285,1.1844034941551347,0.11394891944990176,33.34012544451754,1.444,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_191,1.3720021377513527,3.1889117043121153,1.2668345865592308,0.10180995475113122,33.28202931890925,1.73,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_199,1.128790873665782,2.6779661016949152,0.9494487073778122,0.01636520241171404,30.541751974054392,1.397,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_204,0.6843678260492919,1.435064935064935,0.5106115522076765,-0.032460732984293195,22.21993670433431,1.245,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_219,1.4267767408470924,4.302521008403361,1.3501012595158783,0.020364415862808145,37.858158801722304,1.646,"{""type"":""MultiPoint"",""coordinates"":[]}"
