system:index,EVI2,GVI,MSR,NDGI,RDVI,estimatefCOVER,.geo
0_22,0.9573932030681374,2.6654545454545455,0.7638342073763938,-0.08180300500834725,26.504461633590797,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_41,1.3466471234884572,2.873684210526316,1.2300163615931101,0.1242603550295858,31.2695187911465,0.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_98,1.3167756881984194,2.5017921146953404,1.188427674444488,0.15527950310559005,22.49337093050093,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_120,1.1279760565281967,2.7963737796373778,0.9484285410651779,0.0,34.18993609461876,0.341,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_125,1.6230926231898144,3.4102564102564106,1.7022003612709458,0.2468916518650089,31.845650480802785,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_132,1.67546837671319,3.6923076923076925,1.8146186104120612,0.2560386473429952,28.75834161627188,0.394,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_178,1.3143660752920816,2.7954144620811285,1.1844034941551347,0.11394891944990176,33.34012544451754,0.36,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_181,1.6304347826086958,3.4036697247706424,1.71746488194703,0.25287356321839083,30.790055585136248,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_199,1.128790873665782,2.6779661016949152,0.9494487073778122,0.01636520241171404,30.541751974054392,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_204,0.6843678260492919,1.435064935064935,0.5106115522076765,-0.032460732984293195,22.21993670433431,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_206,1.764691691595098,3.8436578171091442,2.028726524059559,0.3088803088803089,34.28383160150882,0.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_228,0.7774723876418792,1.749318801089918,0.5922235645150415,-0.040522875816993466,23.03611083222041,0.19,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_250,0.7985020261348631,1.9636363636363638,0.6112516774686753,-0.0661006670709521,24.954301795646252,0.276,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_262,1.5882518664600647,2.9182156133828996,1.6332889181242132,0.27790973871733965,25.973643995812896,0.365,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_265,1.145484421411869,3.0964360587002098,0.9690058727652712,-0.027522935779816515,29.246712972414617,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_273,0.9849273579101794,1.9632352941176472,0.7919696924016475,0.040152963671128104,29.56760289514514,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_283,1.1487260234755223,3.1064638783269958,0.9727878476642875,-0.02682701202590194,30.802794592311468,0.385,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_318,1.7290853153472963,4.104247104247104,1.9394766329768627,0.25728155339805825,30.43816738731662,0.401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_358,1.6981613891726253,3.7111111111111112,1.8665404695496437,0.2711864406779661,26.99968850083527,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_359,1.1334174797025314,3.3795620437956204,0.9549056373532238,-0.06802721088435375,27.88793861531111,0.373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_389,1.0587509708072547,2.8345642540620384,0.8704684683536158,-0.04580690627202255,32.089766991926965,0.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_407,1.0002931261908252,2.7282780410742498,0.8079541091913335,-0.06568265682656826,29.50513324381432,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_413,1.27456465487097,3.675,1.1304541655375528,-0.014778325123152709,30.52106641616028,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_451,1.6799512897154878,3.8194444444444446,1.8243603690486936,0.24675324675324675,30.716955741713928,0.396,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_471,1.7173913043478262,4.13375796178344,1.9127668163304439,0.24603174603174602,23.686844295405958,0.257,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_509,1.700175250705871,4.0157728706624605,1.870251203102599,0.24313725490196078,33.08420738756279,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_515,1.1058276001618776,2.2354211663066956,0.9232174687483383,0.06682027649769585,25.05536696114309,0.398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_519,1.1218614590134743,2.7418181818181817,0.9414506867883019,0.0036496350364963502,29.629976103111655,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_618,0.9604464246712968,2.473825503355705,0.7668711142521885,-0.053367217280813214,30.09146626238592,0.345,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_637,1.119666157282238,2.414473684210526,0.9392961520142794,0.04827586206896552,21.021189570500145,0.302,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_646,1.9145146927871772,6.454545454545454,2.4854193647462495,0.23943661971830985,31.95084252454337,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_672,1.6826168810793851,4.568181818181818,1.834217155626206,0.18120805369127516,18.276014449934884,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_710,1.3831380495110566,2.753623188405797,1.2835860177955067,0.16292134831460675,29.18563509496287,0.393,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_721,1.3726290951992013,3.1722222222222225,1.2680025609417545,0.10429447852760736,28.567625961318083,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_722,1.5827023878858473,4.60352422907489,1.6221509635556217,0.10194174757281553,28.477362802333072,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_726,1.8248927746618278,4.703488372093023,2.1966779631361057,0.2835820895522388,26.96717286361823,0.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_736,1.7144603756807824,5.140350877192983,1.9040893477575782,0.15736040609137056,31.183099525878895,0.373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_739,1.5150225551110732,2.7274725274725276,1.4970570913871912,0.2517193947730399,32.099438994160586,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_756,1.8918839211985372,4.974468085106383,2.4063625445809445,0.3202247191011236,32.85426339078111,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_820,1.5080542602797795,3.6016260162601625,1.4848632667705188,0.14596273291925466,32.0362266432354,0.364,"{""type"":""MultiPoint"",""coordinates"":[]}"
