system:index,B4,GVI,NDGI,NDVI,RDVI,estimatefAPAR,.geo
3_1887,832.0,3.128883774453395,0.02175191064079953,0.6235294117647059,41.454156110377276,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1926,683.0,3.6206896551724137,0.06821282401091405,0.6823994419902348,44.753126843175316,0.551,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1941,894.0,3.285390713476784,-0.0061902082160945416,0.6177853783668235,42.253990858617364,0.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1951,648.0,2.8569604086845466,0.09433962264150944,0.6466739367502726,39.16517047035091,0.507,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1960,866.0,2.9468085106382977,0.04097452934662237,0.6215034965034965,42.042311354823774,0.501,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1982,660.0,3.713643178410795,0.0052750565184626974,0.6529968454258676,40.27460942129489,0.508,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1983,432.0,4.921810699588478,0.058823529411764705,0.7389728096676738,42.51502666642854,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1994,355.0,4.070769230769231,0.2935323383084577,0.8055327307586962,48.67311127472052,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2009,624.0,4.268656716417911,0.03554868624420402,0.699566682715455,45.08814456119382,0.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2027,251.0,3.4821002386634845,0.2507462686567164,0.7642085486143729,35.26141387686525,0.489,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2077,866.0,3.410138248847926,0.0011534025374855825,0.6310183212611845,43.23281470799268,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2105,1050.0,2.8596491228070176,-0.04011887072808321,0.5615866388308977,38.86731349675605,0.485,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2126,705.0,4.43839541547278,-0.004989308624376337,0.686736280826483,46.072788541987116,0.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2127,767.0,3.6876513317191284,0.037037037037037035,0.6693252856219013,45.58788229185475,0.539,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2129,341.0,4.153398058252427,0.20327102803738317,0.7722871452420701,42.26464440812093,0.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2141,241.0,4.946210268948655,0.25846153846153846,0.8196782641227086,42.378238244326,0.539,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2165,594.0,3.075912408759124,0.07114933541829555,0.6491435321913762,37.77323766579514,0.502,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2168,786.0,4.228494623655914,-0.027450980392156862,0.6638152266894782,45.392537532551984,0.497,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2239,802.0,3.43765903307888,-0.010075566750629723,0.6261072261072261,41.00882843149764,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2248,438.0,4.3649289099526065,0.18207282913165265,0.7715179968701096,47.771856094794806,0.541,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2294,972.0,2.77822990844354,0.005626598465473146,0.5851472471190781,40.05588285883251,0.545,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2318,703.0,3.5912408759124084,0.0780327868852459,0.6859504132231405,45.8972081831593,0.484,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2322,1026.0,2.8872651356993737,-0.034274193548387094,0.568,39.146698455936225,0.494,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2344,847.0,2.6028880866425994,-0.009535160905840286,0.5589690184847695,34.642553062480836,0.506,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2429,576.0,4.2105263157894735,0.057283142389525366,0.7077625570776256,44.43711887877718,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2438,554.0,3.9619921363040627,0.15869400151860288,0.744700460829493,49.05988065008844,0.535,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2478,569.0,4.114285714285714,0.10323089046493301,0.7257170402506629,46.74541697530086,0.514,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2508,239.0,4.6,0.23397435897435898,0.8004175365344468,39.171423481111,0.539,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2514,296.0,4.296660117878193,0.2645962732919255,0.8021390374331551,43.876345447627834,0.543,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2561,1048.0,2.875,-0.011583011583011582,0.5821371610845295,41.22912211491807,0.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2562,297.0,4.694560669456067,0.2335483870967742,0.8032461079827757,44.13470076774318,0.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2566,323.0,3.495479204339964,0.2625570776255708,0.7700249199003204,40.81132075471698,0.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2597,660.0,3.7529761904761907,0.009009009009009009,0.6574987026466009,40.81790921282577,0.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2601,681.0,3.2615933412604043,0.10512483574244415,0.6806565064478312,44.45161232416721,0.527,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2609,1044.0,3.052083333333333,-0.041916167664670656,0.5768139440616133,40.51681730836408,0.51,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2613,688.0,4.103535353535354,0.07027027027027027,0.7090909090909091,48.76772405075829,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2642,532.0,2.991329479768786,0.13071895424836602,0.6769884638737098,38.854655762705875,0.489,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2681,779.0,3.1948488241881297,0.06818181818181818,0.6556906077348066,44.10707463830685,0.506,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2699,670.0,3.6305818673883623,0.048970901348474094,0.6725317693059628,43.0210114842737,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2716,260.0,3.455645161290323,0.31216931216931215,0.7894736842105263,39.23612728354477,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2733,930.0,3.0197044334975374,0.043701799485861184,0.6287425149700598,44.50324619795379,0.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2740,586.0,4.283185840707965,0.07278481012658228,0.718809980806142,46.406407989578355,0.483,"{""type"":""MultiPoint"",""coordinates"":[]}"
