system:index,EVI2,GVI,MSR,NDGI,RDVI,estimateLAI,.geo
0_2,1.1909231707889427,2.5019556714471967,1.0234901025510235,0.07800421644413212,35.1150115123556,1.03,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38,0.48822964208503483,1.258793969849246,0.35106650859974264,-0.10612015721504772,15.411110784400162,0.926,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_39,0.7290661520317359,1.1660859465737516,0.5492764118314719,0.05128205128205128,21.167154937434187,1.131,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_42,1.1893968829598929,3.121468926553672,1.0215921284704186,-0.004219409282700422,36.57115446915846,1.304,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_148,0.8337840274021995,1.3713956170703576,0.6436874029391401,0.06511056511056511,34.50573977452579,1.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_154,1.1587479996951917,2.529220779220779,0.9845417095897605,0.0547945205479452,38.04815075000664,1.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_173,1.1557710795679468,2.4015503875968993,0.981127414338254,0.07142857142857142,31.161234264488076,1.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_175,0.8666684907518879,1.700960219478738,0.6747666419066581,0.018867924528301886,24.51543878964938,0.812,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_180,0.9636885704121565,2.3453453453453452,0.7702018606039012,-0.032679738562091505,27.98245330725826,0.852,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_201,0.7441640959528524,1.4801812004530013,0.5625209028702158,-0.007865168539325843,23.271812552425274,0.665,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_250,1.0140663965087284,2.067971163748713,0.8223803758035017,0.03961456102783726,33.44173807087841,1.259,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_264,1.1117339312406576,2.443121693121693,0.9297386541310448,0.03917525773195876,33.13434650376215,1.187,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_301,1.1948721977791745,3.0521008403361343,1.028382230002462,0.007620660457239628,33.336461314697445,1.033,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_330,0.4517174206885585,1.02,0.3228756555322953,-0.07161803713527852,15.745129116939337,1.227,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_347,1.318125858231924,3.1321585903083697,1.1894901509150488,0.07413249211356467,38.18711957122089,1.364,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_407,1.3346833578792343,3.3606837606837603,1.2127704731821067,0.05786618444846293,36.62565770171689,1.234,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_417,0.5901920806953536,1.1574539363484089,0.43211571250815445,-0.025306122448979593,21.32363210179087,0.847,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_421,0.9517872857561915,2.3119605425400738,0.758098145983065,-0.034523809523809526,30.474397268672746,1.065,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_449,1.1444030719106353,2.894273127753304,0.9676211136078329,-0.0029282576866764276,34.050716638069126,1.175,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_457,0.9827197432895365,1.8590021691973968,0.7896692879939639,0.05673352435530086,30.82637967267028,1.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_485,0.804379596454837,1.8901960784313725,0.6166246247366655,-0.05027932960893855,24.687944478054895,1.135,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_545,0.5781125406780026,0.9117117117117117,0.42227948460086145,0.02825382121352478,26.947383235869136,0.93,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_553,0.7262318737728575,1.1552604698672115,0.5467030256106394,0.05212251477700161,31.749184165694178,1.187,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_604,0.8964955175224125,1.6796008869179602,0.7033967900197828,0.03976945244956772,27.785198051646685,1.241,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_610,0.7355807820204106,1.1880000000000002,0.5548889214381361,0.049868766404199474,32.625088182565,1.213,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_627,1.2015177065767286,2.591304347826087,1.0373398756329835,0.07226107226107226,19.5841897408312,1.391,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_630,0.9749112011606382,2.366863905325444,0.7816670613315362,-0.029432878679109833,28.49658099901597,0.787,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_639,1.0472393257292822,2.5516717325227964,0.8579542759660428,-0.014232209737827715,30.23684433175307,1.071,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_666,0.42854916627707657,1.1980742778541953,0.3052297627143965,-0.12672672672672672,13.10597426802737,0.244,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_680,0.3515666302470658,0.9208261617900173,0.24759182253192719,-0.10477657935285054,13.179734480709266,0.225,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_687,1.0331537890044578,2.1225247524752477,0.8427406588924545,0.041908446163765316,31.146690839888052,1.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_689,0.622980098656234,1.7017114914425426,0.459141669726215,-0.11853448275862069,14.541345842674128,0.396,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_721,1.0111121641472776,2.3645116918844566,0.8193070696840695,-0.008185538881309686,30.246755991968403,1.041,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_742,0.7566632496155817,1.6343085106382977,0.5736104981856216,-0.030927835051546393,22.39491421435021,0.789,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_755,1.3337378640776698,3.1486486486486482,1.211394466558525,0.08204711616571893,38.10096972822043,1.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_784,1.1209133367929422,2.5436746987951806,0.9403092537015846,0.030256012412723042,31.665138464179734,1.231,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_823,0.9642903603486407,2.534506089309878,0.7707778691029211,-0.05979643765903308,30.309678863378956,0.975,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_834,0.9068373434917789,1.6221628838451267,0.7133957402278063,0.056417489421720736,35.69105098473547,1.09,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_847,0.8264931295632851,1.610549943883277,0.636986103271542,0.013075611142694713,25.798239371418294,1.025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_849,1.2556332048853767,3.0121212121212118,1.105477550173764,0.04984093319194061,31.174252486262425,1.207,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_854,1.1941473656584214,2.530275229357798,1.0275875100994065,0.07601184600197433,29.770133851986916,1.075,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_856,0.4145088120759565,1.087665647298675,0.29458143050037583,-0.10939627780299592,14.444621656562115,0.235,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_887,1.074998884277235,2.803977272727273,0.8883622844086613,-0.03230240549828179,32.9077335409295,1.082,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_894,0.7894232611611419,1.4482758620689653,0.6029734275788259,0.024163568773234202,26.91890663985381,1.082,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_932,1.314084288009953,3.1121794871794872,1.1839223266005903,0.07401032702237521,36.40047864191932,1.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_971,0.9690743486549459,2.076923076923077,0.7756523242094969,0.01220220801859384,30.8009234253243,1.249,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1006,1.2417658308542285,3.045,1.087407745303395,0.037165082108902334,34.23278221261143,1.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1034,1.0416029834321698,2.664761904761905,0.8519152296542388,-0.03314917127071823,27.342149859762717,0.679,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1077,1.2075371549893843,2.9807355516637477,1.0440911974590106,0.0242152466367713,32.57628604515197,1.259,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1081,1.2895327017254794,3.2294117647058824,1.1503009585215391,0.0445468509984639,38.110444057436574,1.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1096,1.27767368472955,2.9174041297935105,1.1344193919311645,0.0753370340999207,36.424519221178194,1.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1113,1.0361281526925699,3.1771844660194173,0.8460554683105294,-0.10141766630316248,25.77335732667728,1.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1118,1.0418242323400395,2.664310954063604,0.8520229411758582,-0.03302961275626424,34.770154781280254,1.131,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1143,0.7947810575982507,1.963815789473684,0.6079072901316595,-0.0681992337164751,22.104421326442154,0.578,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1181,0.6069436873663467,1.4052004333694477,0.4458200027064188,-0.07002518891687658,20.213395381123824,1.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1182,0.7340123518278713,1.7880886426592797,0.5535987463782923,-0.07197943444730077,22.096326144480344,0.718,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1189,0.40123883208989597,1.0836277974087163,0.28459587698395605,-0.11608537220197813,13.076669913342895,0.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1191,0.9075941551759621,2.450322580645161,0.7141941367480926,-0.08011869436201781,29.46555192084479,0.867,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1213,0.6608933454876937,0.9319371727748691,0.49093647291394016,0.0700280112044818,12.411782162469585,1.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1226,0.9125518567236669,2.0418410041841004,0.7190941081992946,-0.01443298969072165,26.708486820532322,0.92,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1232,1.0796419704690972,2.6184210526315788,0.8935146297808907,-0.0045841519318926,33.43771024317471,1.077,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1263,1.1691912921115803,2.978891820580475,0.9973527453652219,0.001321003963011889,26.020018396805476,1.264,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1273,0.929612633283844,2.494350282485876,0.7359142532862862,-0.07390451275343361,28.796860602791952,0.934,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1279,1.1935384905838486,3.10752688172043,1.026703451844998,0.0,35.08326936694589,1.145,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1283,1.2264150943396226,3.0723809523809527,1.0678491240900532,0.024390243902439025,31.89161420908729,1.345,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1332,0.6722104714165676,1.3554301833568405,0.5002246013338935,-0.022742935906271536,26.722329964650076,1.155,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1345,1.0940906613372094,2.582995951417004,0.9097062658896059,0.008849557522123894,33.130707919868726,1.091,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1346,0.9065858363185451,2.0897832817337463,0.7132700072221713,-0.02564102564102564,25.439749742590244,1.273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1353,1.100745478419247,2.689922480620155,0.9172051730776433,-0.0019342359767891683,34.49227106187385,1.159,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1385,1.0986442262739597,2.735549132947977,0.9148542155126762,-0.009305654974946313,32.776298056457115,1.036,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1401,0.5680642357518315,1.1571709233791747,0.4142135623730951,-0.03780718336483932,19.131126469708992,0.655,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1413,1.0784613673026646,2.470967741935484,0.8922734567906782,0.015561015561015561,29.560290118789606,1.096,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1445,0.7862459377293217,2.0765625,0.6001462872006836,-0.09155429382540808,22.933192903347486,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1447,0.6631283093678637,1.3649815043156597,0.4925288192938735,-0.029904306220095694,28.356048581984744,1.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1471,0.8275640731740864,1.8107448107448105,0.6379815881088783,-0.023255813953488372,25.687607217430003,1.3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1488,0.8328619909502262,1.5705128205128207,0.642875059625187,0.024390243902439025,28.488885277445355,1.143,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1502,0.6448198058972616,1.6606217616580312,0.47716327176272544,-0.09883268482490272,24.899356733145947,0.771,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1534,0.9790460640245412,1.785024154589372,0.7859138398674647,0.06769825918762089,28.762807731803672,1.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1547,1.1621407928458476,2.5824175824175826,0.9887029294042747,0.04942339373970346,31.88726754379534,1.203,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1553,1.2207672768678286,2.915436241610738,1.060581735528064,0.040502793296089384,37.1460357093919,1.245,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1554,0.47997522708505375,1.3005025125628142,0.3446400529650731,-0.11985846970367094,17.157572045048003,0.637,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1580,0.49089852827265684,1.181640625,0.3531990027278348,-0.0873440285204991,12.200055056023551,0.424,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1590,0.8301391102114648,1.77916194790487,0.6403626043299728,-0.01615598885793872,26.578307265743984,0.817,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1597,0.7983824977966716,1.9557522123893807,0.6111657029243741,-0.06482758620689655,23.3830402344346,0.742,"{""type"":""MultiPoint"",""coordinates"":[]}"
