system:index,B2,B8,GVI,NDGI,RDVI,estimatefCOVER,.geo
0_1137,67.0,933.0,5.664285714285715,0.3333333333333333,27.24961239857152,0.346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1143,431.0,1802.0,1.963815789473684,-0.0681992337164751,22.104421326442154,0.156,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1158,95.0,828.0,5.320610687022901,0.24761904761904763,24.870136801400932,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1170,263.0,1471.0,2.261640798226164,0.022675736961451247,23.846688734858873,0.346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1182,489.0,2013.0,1.7880886426592797,-0.07197943444730077,22.096326144480344,0.221,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1189,658.0,1769.0,1.0836277974087163,-0.11608537220197813,13.076669913342895,0.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1191,509.0,2674.0,2.450322580645161,-0.08011869436201781,29.46555192084479,0.247,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1226,481.0,2181.0,2.0418410041841004,-0.01443298969072165,26.708486820532322,0.289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1232,482.0,2750.0,2.6184210526315788,-0.0045841519318926,33.43771024317471,0.327,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1257,83.0,858.0,5.128571428571429,0.21739130434782608,24.943480414526626,0.302,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1263,230.0,1508.0,2.978891820580475,0.001321003963011889,26.020018396805476,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1273,487.0,2474.0,2.494350282485876,-0.07390451275343361,28.796860602791952,0.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1279,437.0,2674.0,3.10752688172043,0.0,35.08326936694589,0.344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1345,501.0,2655.0,2.582995951417004,0.008849557522123894,33.130707919868726,0.313,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1346,527.0,1996.0,2.0897832817337463,-0.02564102564102564,25.439749742590244,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1353,504.0,2856.0,2.689922480620155,-0.0019342359767891683,34.49227106187385,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1385,473.0,2585.0,2.735549132947977,-0.009305654974946313,32.776298056457115,0.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1401,809.0,2196.0,1.1571709233791747,-0.03780718336483932,19.131126469708992,0.224,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1413,388.0,2152.0,2.470967741935484,0.015561015561015561,29.560290118789606,0.304,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1415,85.0,855.0,4.377358490566038,0.325,25.298981432825737,0.292,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1445,461.0,1969.0,2.0765625,-0.09155429382540808,22.933192903347486,0.143,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1464,75.0,1088.0,6.661971830985915,0.22413793103448276,29.077555682728445,0.359,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1547,396.0,2282.0,2.5824175824175826,0.04942339373970346,31.88726754379534,0.367,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1554,684.0,2289.0,1.3005025125628142,-0.11985846970367094,17.157572045048003,0.204,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1565,94.0,1035.0,3.5796460176991154,0.14720812182741116,24.99690753940707,0.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1580,416.0,1117.0,1.181640625,-0.0873440285204991,12.200055056023551,0.081,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1590,650.0,2454.0,1.77916194790487,-0.01615598885793872,26.578307265743984,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1597,512.0,2004.0,1.9557522123893807,-0.06482758620689655,23.3830402344346,0.211,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1608,315.0,1994.0,3.0944558521560577,0.019895287958115182,30.754630198317386,0.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1613,62.0,851.0,6.273504273504273,0.3764705882352941,26.541085198985797,0.289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1624,472.0,2311.0,2.715434083601286,0.03494176372712146,32.1938578439723,0.327,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1673,758.0,2364.0,2.026888604353393,0.10780141843971631,31.71364209961046,0.325,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1691,431.0,2604.0,2.7146932952924394,0.06454062262718299,35.033896629457,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1718,513.0,1570.0,1.2525107604017216,-0.12711333750782716,13.48113091280769,0.062,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1735,471.0,1791.0,1.7095310136157336,-0.09637730690362269,19.422048451759043,0.214,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1753,561.0,2630.0,2.3588761174968074,-0.006975269499048827,31.376594050432043,0.275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1763,93.0,888.0,4.162790697674419,0.2883895131086142,25.292771958141547,0.3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1765,110.0,828.0,3.224489795918367,0.1951219512195122,22.463303408003018,0.272,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1776,368.0,2442.0,3.1389830508474574,0.021645021645021644,34.22926380790848,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1779,604.0,1636.0,1.3304843304843303,7.127583749109052E-4,19.34114828845383,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1782,446.0,2376.0,2.5304606240713223,0.008239700374531835,31.09688823976093,0.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1784,516.0,2430.0,2.168187744458931,0.0,29.411754420502717,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1794,83.0,927.0,4.867088607594937,0.20610687022900764,25.63129225341593,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1796,365.0,1728.0,2.4629258517034067,-0.08440366972477065,23.610766724187727,0.189,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1798,186.0,985.0,1.7591036414565826,0.3125,23.30982888969574,0.262,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1854,600.0,1627.0,1.0388471177944862,-0.1297709923664122,11.452542119170012,0.025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1857,494.0,2274.0,2.1804195804195805,-0.12698412698412698,23.89373434882692,0.226,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1916,446.0,1874.0,1.9327073552425666,-0.0540340488527017,22.850297975214044,0.237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1924,76.0,839.0,5.453846153846154,0.25,25.130434003319596,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1930,797.0,2598.0,1.5077220077220077,-0.0019267822736030828,25.830695863991583,0.341,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1963,434.0,2511.0,2.4444444444444446,0.038461538461538464,32.527433011307316,0.342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1965,436.0,2530.0,2.6560693641618496,-0.07424749163879599,29.914013184768134,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2011,458.0,2465.0,2.9126984126984126,-0.07011070110701106,30.80731908314823,0.292,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2041,81.0,940.0,3.7715736040609134,0.29605263157894735,25.74374118352195,0.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2055,101.0,1092.0,6.28,0.3157894736842105,29.644561052577583,0.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2058,601.0,2431.0,1.9901599015990161,0.007434944237918215,28.671599947759393,0.371,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2080,446.0,2442.0,2.677710843373494,-0.03277494537509104,30.872682112077644,0.286,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2081,626.0,1736.0,1.1565217391304348,-0.11147902869757174,13.919211198689725,0.131,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2082,190.0,1213.0,3.286219081272085,0.0017699115044247787,24.07848093520763,0.355,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2089,612.0,2386.0,1.6629464285714284,0.10959752321981424,29.916087691032065,0.351,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2112,505.0,1977.0,1.9030837004405288,0.008142116950407105,25.403796021177747,0.229,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2138,100.0,941.0,4.568047337278107,0.2158273381294964,25.676077433692097,0.299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2146,165.0,1037.0,3.608888888888889,0.20320855614973263,25.78520694377342,0.276,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2159,499.0,2160.0,2.072546230440967,-0.015406162464985995,26.716464912116397,0.253,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2177,563.0,1870.0,1.3611111111111112,-0.0958904109589041,17.105988454029756,0.139,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2183,269.0,2137.0,3.6659388646288207,0.05408515535097814,34.193304953026626,0.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2186,300.0,1576.0,2.606407322654462,0.10493046776232617,27.81586381532571,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2206,97.0,1088.0,6.019354838709678,0.3247863247863248,29.536276041493696,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
