system:index,B8,GVI,NLI,RDVI,SGI,estimatefCOVER,.geo
0_20,1660.0,2.1320754716981134,0.9997039195822364,27.531448520559756,4.068627450980392,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_40,1618.0,3.224543080939948,0.9997471598450113,29.15228676277781,4.888217522658611,0.243,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_43,1348.0,2.6531165311653115,0.9996643573350853,25.653574178242145,4.419672131147541,0.295,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_50,2048.0,2.7304189435336976,0.9997420643670982,29.61742020771771,3.7855822550831792,0.258,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_55,1564.0,2.7777777777777777,0.9996762711670425,26.382430764833337,3.9494949494949494,0.178,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_90,1444.0,2.9779614325068873,0.9997247560806608,27.80896496887456,5.031358885017422,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_92,1292.0,3.75,0.9997999318330617,29.45268390902305,7.736526946107785,0.316,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_139,1278.0,3.6472727272727274,0.9997955249346323,29.226723800026665,7.652694610778443,0.314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_145,1380.0,3.6938775510204085,0.9997899821484826,29.68612172017103,6.9,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_158,1544.0,3.948717948717949,0.9997500245361822,29.031750936382377,5.181208053691275,0.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_170,1078.0,4.1826923076923075,0.9997797303762136,27.355833476743072,8.421875,0.295,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_214,1134.0,3.909090909090909,0.9997729573548598,27.6154395221224,7.767123287671233,0.316,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_231,1438.0,2.6683673469387754,0.999652838720377,25.453493987056817,4.005571030640668,0.168,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_283,1572.0,2.3733905579399144,0.9996965478064654,27.127587604595295,4.192,0.32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_295,1110.0,2.8408304498269894,0.9996348365893738,24.22158940405082,4.933333333333334,0.214,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_313,1268.0,3.3724137931034486,0.9997699017853756,28.41159723662385,6.854054054054054,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_338,1446.0,3.8200000000000003,0.9997054356682976,27.172366740001426,4.694805194805195,0.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_339,1748.0,2.3745173745173744,0.9997041842225477,27.63081283968711,3.8672566371681416,0.224,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_351,1346.0,3.413114754098361,0.9997836539522891,29.285702987655828,6.86734693877551,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_369,1138.0,3.570281124497992,0.9997467588217491,26.993143579568862,6.939024390243903,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_373,1642.0,2.8726415094339623,0.9997322479858336,28.622571906908554,4.5484764542936285,0.304,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_393,1178.0,3.565891472868217,0.9997751902236569,27.98162815568241,7.551282051282051,0.304,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_395,1714.0,3.7479224376731306,0.9997542677263332,29.702208753210208,4.747922437673131,0.314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_429,1250.0,2.0048076923076925,0.999483013671985,20.801881135287413,3.094059405940594,0.138,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_437,1436.0,3.5732484076433124,0.9996848364131281,26.47490320503685,4.418461538461538,0.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_450,1390.0,3.498381877022654,0.9997650501183288,28.92175912521094,6.1233480176211454,0.282,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_455,1314.0,4.152941176470589,0.9998123651374425,29.985362282612364,8.11111111111111,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_464,2130.0,1.8362183754993344,0.9997073319516816,27.734527372750296,3.2078313253012047,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_480,1228.0,2.411111111111111,0.9995147014950111,21.590520248880406,3.3551912568306013,0.126,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_499,1352.0,2.414141414141414,0.9995525930188103,22.47149749986476,3.3056234718826407,0.254,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_521,1852.0,2.066225165562914,0.9997067403372253,27.79818839657784,3.6819085487077534,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_527,1448.0,2.6658227848101266,0.9996976663562263,26.92094185725281,4.5678233438485805,0.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_531,2152.0,2.216741405082212,0.9997206240145465,28.446906852374426,3.3261205564142196,0.312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_539,1462.0,4.2214285714285715,0.999746458250983,28.609645737022376,5.394833948339484,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_552,1376.0,4.251908396946565,0.9998119937429828,30.390042736967274,7.730337078651686,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_602,1508.0,2.625,0.9997203635976718,27.84816444345409,4.7421383647798745,0.321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_611,1376.0,3.6329966329966332,0.9997760864559767,29.209742689898444,6.490566037735849,0.236,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_626,1438.0,2.687179487179487,0.9996480044560315,25.300370907073994,3.9505494505494507,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_639,1466.0,3.3117647058823527,0.9997664472107889,29.32183397373012,5.840637450199203,0.313,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_665,1314.0,2.6298342541436464,0.9995796078540371,23.22276811353673,3.6198347107438016,0.142,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_670,1470.0,3.608150470219436,0.9997482847269907,28.703360312447334,5.404411764705882,0.295,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_693,2030.0,2.274193548387097,0.9997326184394768,29.112142723141908,3.6842105263157894,0.253,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_702,1750.0,4.072463768115942,0.9997440327638062,29.342021886127977,4.464285714285714,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_741,1262.0,2.812688821752266,0.9995957226959019,23.618388658591485,3.919254658385093,0.248,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_745,1468.0,3.573208722741433,0.99980698133658,30.777514030999985,7.0576923076923075,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_756,1368.0,3.356687898089172,0.999646321233281,25.15834491796277,4.132930513595166,0.235,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_788,1296.0,3.3200000000000003,0.9995952274940534,23.63557883355231,3.8117647058823527,0.213,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_793,2208.0,0.8904109589041096,0.999484878560941,16.175138451527918,1.7579617834394905,0.298,"{""type"":""MultiPoint"",""coordinates"":[]}"
