system:index,GVI,MSR,NLI,RDVI,SGI,estimatefCOVER,.geo
0_1496,3.052631578947368,1.2453655975512465,0.9997658513741597,30.140590113894472,5.041666666666667,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1508,3.291208791208791,1.2303637131628622,0.9997426396159593,28.813642824071675,4.974522292993631,0.347,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1520,3.9402515723270444,1.8167966618738092,0.9998395617280175,32.644244409189795,7.934343434343434,0.386,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1525,4.7727272727272725,1.9097537123726926,0.9998569330255804,33.88796786762498,8.466666666666667,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1532,4.43448275862069,1.9507935069133504,0.9998542647879975,33.28038386068627,8.707182320441989,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1546,2.9138240574506282,0.9488225695700224,0.9997584670145471,30.602969748763243,3.797909407665505,0.348,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1562,3.8262295081967217,1.8131794280890894,0.999828331725866,31.582660036130275,7.913978494623656,0.351,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1566,4.147887323943662,1.8264944787229582,0.9998287821027709,31.53461937054235,7.9890710382513666,0.391,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1567,4.1528662420382165,1.6996829977403436,0.9998304143466407,32.54441780758695,7.288288288288288,0.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1568,3.986486486486487,1.8715518549846741,0.9998356859766243,31.881663748676697,8.245810055865922,0.371,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1581,3.6588921282798834,1.6709415140411763,0.9998245770662707,32.18937515186336,7.133928571428571,0.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1586,3.539906103286385,1.2211874007808874,0.9997904162483011,31.972715151945515,4.933673469387755,0.355,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1587,3.781456953642384,1.8013971669430455,0.9998235282834289,31.227940617086407,7.8478260869565215,0.391,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1615,3.528497409326425,1.4852924265022984,0.9998147776661135,32.50743201770969,6.176678445229682,0.275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1621,3.7448071216617214,1.7726341266023542,0.9998373099195192,32.72261884648999,7.6875,0.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1647,3.8659793814432986,1.9564743768111268,0.9998384215581547,31.567779694316442,8.74074074074074,0.381,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1651,4.248366013071895,1.7458889459128504,0.9998348484501922,32.661397779225524,7.539906103286385,0.391,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1700,3.790322580645161,1.592191546466939,0.9997995870223075,30.602546078630855,6.719457013574661,0.359,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1708,4.250909090909091,1.8725299948701268,0.9998321593277933,31.538294026744,8.251428571428571,0.355,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1743,3.88086642599278,1.7330593223837107,0.9998019785732064,29.90789296018156,7.469613259668508,0.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1745,3.7482993197278915,1.8826244655736568,0.9998276024841661,31.05131467784426,8.30952380952381,0.371,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1750,3.493243243243243,1.7107316905851344,0.9997953739823106,29.55886789237294,7.348066298342541,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1754,4.132911392405063,1.644121651956435,0.9998236489763279,32.28196299551162,6.991379310344827,0.348,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1773,4.324324324324325,1.9507935069133504,0.9998542647879975,33.28038386068627,8.707182320441989,0.369,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1790,4.697416974169742,1.9046787206066966,0.9998464841729796,32.75004917405928,8.437158469945356,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1795,4.3,1.8823788973880773,0.9998433898230474,32.58067802732308,8.308108108108108,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1836,4.578181818181818,1.8564968874628773,0.9998402273530772,32.43608921950952,8.159574468085106,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1840,3.2913385826771657,1.3993837236926334,0.9997875451326328,30.84024799349312,5.757042253521127,0.367,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1843,4.113333333333333,1.9192845394415088,0.9998470256690928,32.70493238183424,8.522222222222222,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1854,3.7314285714285713,1.7435875650820274,0.9998395657189862,33.15415953154401,7.527272727272727,0.391,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1861,4.175074183976261,1.7902892835178015,0.9998527168481406,34.26344611736243,7.785714285714286,0.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1865,3.9709090909090907,1.8273931539111474,0.9998170007384181,30.496711541155502,7.994152046783626,0.363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1872,4.1521739130434785,1.6466820943162752,0.9997992372002589,30.239668292849025,7.004926108374384,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1885,3.926829268292683,1.835454283712731,0.9998460747333973,33.19548178603761,8.039800995024876,0.353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1891,2.442244224422442,1.0445930454354202,0.9997706746141624,31.213800697210583,4.180360721442886,0.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1922,3.9676258992805753,1.7396048588452853,0.9998070616485218,30.257774329058687,7.505434782608695,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1923,4.697416974169742,1.9046787206066966,0.9998464841729796,32.75004917405928,8.437158469945356,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1928,3.723232323232323,1.0807762084447308,0.9998024432646324,33.515391172537846,4.32962962962963,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1933,4.276872964169381,1.8180093098831727,0.9998445479775234,33.155137729991964,7.9411764705882355,0.393,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1941,3.89375,1.570524253281587,0.9998067351574436,31.29875896600343,6.6075949367088604,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
