system:index,EVI2,GI,MSR,NLI,RDVI,estimatefCOVER,.geo
0_9,1.0728208564293111,1.250453720508167,0.886045806450373,0.9997131814965107,28.11820783952509,0.313,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31,1.141437645431105,1.2559055118110236,0.964247366432098,0.9997355618322026,29.227659464893627,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33,1.3148923736242328,1.0314685314685315,1.1854573380013107,0.9996935017002082,26.571662890476635,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_69,0.799107632666496,0.9725776965265083,0.6117711424771571,0.9997291428212077,27.862102360867883,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_90,1.188330329127445,1.2294372294372293,1.0204581367232242,0.9997402639750069,29.38738502550266,0.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_94,0.9217748355469896,1.036117381489842,0.728136563452469,0.9997469367493255,29.61435787798684,0.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96,1.2220177859552286,1.2,1.0622951351564103,0.9997743778930855,31.418398640219923,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_106,1.1646499567847883,1.1027522935779817,0.9917260045157366,0.9997668343961621,31.07891810135839,0.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_143,1.1388619463304235,1.288888888888889,0.9612405886236003,0.9997269501071652,28.76708583047631,0.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_145,1.0155847802686386,1.0710455764075066,0.8240278912311829,0.9997578342722936,30.55504712130031,0.237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_163,0.9655408921053876,0.981651376146789,0.7720710795219566,0.9997342194542651,29.05436390707859,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_190,0.9163771493909143,0.9421487603305785,0.7228240729408806,0.9997320062527656,28.754203604569813,0.267,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_206,1.127767949734643,1.3137996219281665,0.9482918697746157,0.9997376377928544,29.363508117849143,0.327,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_231,0.9162960837756419,1.1514762516046213,0.7227616125896758,0.9997085738581024,27.57354801224942,0.276,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_298,1.2080664049045948,1.09297052154195,1.0448486241508463,0.9997406475049673,29.350436794769575,0.243,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_330,0.9417268628496632,1.130952380952381,0.7480147469502526,0.9997166871281519,28.06499306282541,0.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_354,0.8800791496019511,1.0036231884057971,0.6875503213109,0.9997022114040085,27.106194176089428,0.219,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_368,1.026959957596492,1.0417246175243393,0.8361233880016398,0.9997552963118321,30.412504963599968,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_391,0.9954089029694464,1.0925644916540211,0.802880850935722,0.9997127803796311,28.021062359183254,0.289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_412,1.2093311706898198,0.9937106918238994,1.0466263081674239,0.9996415976629462,24.962954370608678,0.238,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_415,1.1660542967952645,1.264642082429501,0.9934817860307735,0.9997253242410294,28.63092817168331,0.298,"{""type"":""MultiPoint"",""coordinates"":[]}"
