system:index,EVI2,GNDVI,GVI,MSR,RDVI,estimatefAPAR,.geo
0_8719,1.1397694524495678,0.577703949796973,2.736013986013986,0.9622564690810553,30.490809274646725,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8739,1.510925151092515,0.6272965879265092,3.366197183098592,1.4899799195977466,30.641293851417057,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8785,0.442357927941249,0.4370245139475909,1.5525525525525525,0.31573587628001776,13.864207749632914,0.066,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8807,0.8135456017269294,0.47324478178368123,1.7968299711815563,0.6250588686354142,23.313326891765833,0.191,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8812,1.3614211046758018,0.6272765777213045,3.365909090909091,1.2513554990523945,32.15292264760093,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8823,0.5444250871080138,0.438164521544488,1.5597609561752988,0.3953385599809449,14.171643361953693,0.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8845,1.8269971744156177,0.6948924731182796,4.5550660792951545,2.201879529327299,30.589629509459762,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8847,1.705188012439921,0.6508653122648608,3.7284482758620694,1.8828121792107895,27.526523934832497,0.296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8848,1.6729726677208043,0.6815365551425031,4.280155642023346,1.8088315869273706,30.305022280288195,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8852,1.6711324213792131,0.642965204236006,3.601694915254237,1.8052745351197454,27.096776452516398,0.316,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8856,1.7649449724862432,0.6870838881491345,4.391489361702128,2.0300428083262876,30.12005633451415,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8891,0.508385217915244,0.44288079470198677,1.5898959881129273,0.3668091317270116,15.658204628797947,0.084,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8892,0.7093403215891813,0.5760701392470345,2.7177615571776155,0.5320438042451529,26.56965872138564,0.313,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8895,1.5685984624482554,0.6373193166885677,3.5144927536231885,1.5952138900551405,28.047591081565027,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8899,1.6520108625371785,0.6505263157894737,3.7228915662650603,1.7633971188310298,28.023674202171875,0.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8906,1.5940063968849951,0.6692667706708268,4.047169811320755,1.6445158445900039,26.221413979872313,0.331,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8925,1.2400625127403684,0.5826377295492488,2.792,1.0853354294240074,30.23351087953425,0.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8956,0.6549347912751295,0.4812857771906649,1.8556876061120544,0.48571500677782387,18.609608063442902,0.087,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8961,1.777178103315343,0.6959737058340181,4.578378378378378,2.0629753805439215,27.283360979537594,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8976,1.784833031748643,0.6538789428815004,3.778325123152709,2.0837969974641046,26.510769425318234,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8981,0.635028808624001,0.4538534728829686,1.6620209059233448,0.4690786535769554,17.341152311950356,0.095,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9031,1.2143940214448177,0.568,2.6296296296296298,1.053059610298946,23.515864353424472,0.149,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9053,1.6652459814905016,0.6341145833333334,3.4661921708185055,1.79195828333817,29.072721988864544,0.336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9056,0.6006177782862374,0.4357838795394154,1.5447409733124018,0.4406749023064584,17.13928831651622,0.162,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9061,0.9618542031523645,0.5265878877400295,2.2246489859594383,0.7683552192766917,26.919261274522047,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9070,1.2687756030951296,0.5078947368421053,2.064171122994652,1.1241024042220864,16.857215496211534,0.262,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9071,1.8199167244968772,0.690631808278867,4.464788732394366,2.181468077858834,29.3319013676588,0.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9079,1.4966322146092206,0.6497326203208557,3.7099236641221376,1.465525853441847,27.19758114833213,0.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9085,1.715307305759567,0.6966292134831461,4.592592592592593,1.9064673484407921,28.974899165367724,0.332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9091,1.1890531613715005,0.5807343071456771,2.7702448210922785,1.0213149892370277,30.288500432127147,0.295,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9095,1.0578548448661322,0.567976920302921,2.629382303839733,0.8695392076323507,29.35101560952267,0.201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9155,1.7669362992922144,0.6806002143622722,4.261744966442953,2.0370264094611863,23.711950927768903,0.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9169,1.1123640222870788,0.5602450646698435,2.5479876160990713,0.9304997457375339,31.10359201977334,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9171,1.71947739900886,0.6634615384615384,3.942857142857143,1.9168813348011737,26.894686053773416,0.298,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9177,1.6322530057501305,0.6307171089779785,3.4159021406727827,1.721236521349845,30.85126396280226,0.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9178,1.6979150459001089,0.6663872590108969,3.9949748743718594,1.866160503715354,26.144287460478694,0.292,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9200,1.151522061338502,0.5393338058114813,2.3415384615384616,0.9764804122843932,21.877826587384845,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9203,1.774974328883673,0.6411809235427707,3.5738396624472575,2.0569310731854746,27.943753028777884,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9205,1.6826613422645886,0.703281027104137,4.740384615384615,1.8307989718084798,28.5153222649145,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9217,0.9760720791689232,0.5645706558485463,2.593167701863354,0.7828548534783836,28.755675768252935,0.264,"{""type"":""MultiPoint"",""coordinates"":[]}"
