system:index,EVI,GVI,MSR,RDVI,SGI,estimatefAPAR,.geo
0_6,6.68141592920354,4.175373134328358,1.783631324718722,30.526081221443842,7.748603351955308,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26,11.118314424635331,3.2902374670184695,1.530133356791615,31.642820435390757,6.4015748031496065,0.385,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28,7.315247895229186,4.2507374631268435,1.8706690406141806,35.007127817003095,8.24074074074074,0.395,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_40,4.6020408163265305,3.416666666666667,1.2967110215670752,24.789201917812004,5.274881516587678,0.397,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_44,6.70606372045221,4.298932384341637,1.844712868524313,31.905278593860032,8.092391304347826,0.391,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_52,8.1266318537859,4.02112676056338,1.806858214921807,31.057136658083596,7.878453038674033,0.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_55,10.47787610619469,3.8530465949820787,1.822181050597736,30.32907875905075,7.964705882352941,0.377,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_87,9.291044776119403,3.5123456790123457,1.5956361819292189,30.383933954070407,6.7373271889400925,0.365,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_93,6.887226697353279,3.9430604982206408,1.6896793489187518,30.104277971447235,7.234375,0.359,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96,5.517857142857143,3.3641618497109826,1.3475410337434974,29.263148131481387,5.510948905109489,0.352,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_102,10.568011958146489,3.7653958944281527,1.7751435640247275,32.999933980260096,7.701421800947867,0.394,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_116,9.747774480712167,4.120689655172414,1.946898458772509,32.28978839792247,8.68421052631579,0.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_120,7.269005847953216,3.624605678233438,1.5639795302205777,30.245189078658264,6.573991031390134,0.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
