system:index,B2,B8,NDGI,NLI,RDVI,estimatefAPAR,.geo
7_9763,319.0,2556.0,0.2483221476510067,0.9998971450401869,41.2813441834609,0.465,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9770,514.0,2630.0,0.2281639928698752,0.9998748072414614,39.696896822907874,0.486,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9777,323.0,2398.0,0.2716049382716049,0.9998974037764801,40.524820137285026,0.478,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9794,401.0,2562.0,0.235480464625132,0.9998897048630101,40.684969680042,0.481,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9929,435.0,2652.0,0.2056451612903226,0.9998879647083144,40.91277976696295,0.482,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9932,377.0,2670.0,0.19530416221985059,0.9998942389249289,41.54012773225204,0.475,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9940,350.0,2178.0,0.2661498708010336,0.9998802690068735,38.171212054792356,0.485,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9942,421.0,2622.0,0.168,0.9998638615157449,38.74953178545817,0.486,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9951,421.0,2898.0,0.10824742268041238,0.9998764127257744,40.69789553053787,0.47,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9958,438.0,2232.0,0.23348017621145375,0.9998603018924277,37.09121377812923,0.485,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9971,414.0,2262.0,0.23128491620111732,0.9998655459031759,37.57174768490594,0.469,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9988,510.0,2852.0,0.16455696202531644,0.9998701814705686,39.9740152285347,0.483,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9997,549.0,2828.0,0.2144702842377261,0.9998859720631554,41.39168539665472,0.48,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_37,378.0,2734.0,0.20129171151776104,0.9999007374724203,42.406547818781505,0.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_43,548.0,3096.0,0.15267175572519084,0.999884203367679,42.05317094493874,0.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_55,424.0,2802.0,0.1825922421948912,0.9998899592390681,41.675261945859795,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_56,411.0,2722.0,0.18620689655172415,0.9998885244565331,41.2387184321559,0.519,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_69,506.0,3300.0,0.09824046920821114,0.9998870587198244,42.91196548294188,0.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_72,426.0,2912.0,0.24203821656050956,0.9999158028896118,44.687230929394644,0.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_101,456.0,2974.0,0.16553727008712488,0.9999025449889979,43.58005781386947,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_161,561.0,3124.0,0.1615326821938392,0.99988565496447,42.28776768800599,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_193,301.0,2386.0,0.25647668393782386,0.9998991794365395,40.59877776122331,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_216,463.0,3138.0,0.13201035375323555,0.9998978425794769,43.66870168357334,0.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_218,346.0,2922.0,0.12585365853658537,0.9998950639290219,42.61718353368995,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_264,332.0,2402.0,0.21559633027522937,0.9998814546964564,39.325582738542444,0.488,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_276,487.0,3144.0,0.11023622047244094,0.9998856888626861,42.34702696659046,0.51,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_309,471.0,3162.0,0.1103448275862069,0.999896787201613,43.62987587096138,0.502,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_323,527.0,3128.0,0.15079365079365079,0.9998906480472654,42.8434127090503,0.499,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_341,470.0,2618.0,0.23105706267539758,0.9998800758935769,40.10076858123229,0.495,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_379,602.0,3166.0,0.10840108401084012,0.9998687178865096,40.55725845504256,0.506,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_392,504.0,2890.0,0.1770573566084788,0.9998814739610864,41.164816257198595,0.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_421,538.0,2822.0,0.11774193548387096,0.9998626358276147,39.19502046140582,0.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_436,460.0,2832.0,0.1468777484608619,0.9998790630603853,40.751195487678736,0.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_477,389.0,2688.0,0.2709677419354839,0.9999061680397549,42.694979198509394,0.491,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_488,458.0,2820.0,0.1470335339638865,0.9998752655636387,40.35792814670162,0.514,"{""type"":""MultiPoint"",""coordinates"":[]}"
