system:index,EVI2,GVI,MSR,NDGI,RDVI,estimatefCOVER,.geo
0_11,0.5427243073000638,1.2092592592592593,0.3939141805258349,-0.06412478336221837,19.26258132472498,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_37,0.5769879998772366,1.7779850746268657,0.4213911430520493,-0.15789473684210525,22.540848414814793,0.171,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_46,0.43127801423782447,1.5644599303135887,0.3072789787085902,-0.20018578727357175,15.483225946626424,0.073,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_73,1.2407609504439705,3.104265402843602,1.0860869574324674,0.02926829268292683,35.40068432536616,0.282,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_137,0.8849636073140422,2.2457627118644066,0.6922031207479671,-0.06256206554121152,31.012724264076386,0.327,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_185,1.2108731466227347,3.03765690376569,1.0483291175768223,0.019189765458422176,30.06895840254906,0.344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_203,0.8429639700883752,2.2252747252747254,0.6523415379816411,-0.08312342569269521,26.27155331752789,0.223,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_210,0.5834788201782597,0.9788639365918097,0.4266485506096173,0.01406563965170797,22.799660742893685,0.229,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_305,0.37666843799818706,1.403377110694184,0.266196693876777,-0.1996996996996997,14.94618551799962,0.051,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_307,0.4185124737701096,1.3171690694626474,0.29761686325722664,-0.1583011583011583,13.52551934408895,0.018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_315,1.3567001280064677,3.9264705882352944,1.2444585059569282,0.011152416356877323,32.822914420926075,0.373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_342,0.8790190844256744,2.1910902696365766,0.6865067803501974,-0.057458563535911604,29.09911734163971,0.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_376,0.8153479837476518,1.5974025974025974,0.6266794391627775,0.009284543965046422,25.96227287704687,0.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_404,0.6674730591598856,1.2688728024819027,0.49625382546013286,-0.00667693888032871,21.54840976622303,0.222,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_432,0.8002957874147226,1.586002372479241,0.612895526965997,0.00297441998810232,24.428280496287524,0.369,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_486,1.0423035319569205,3.276923076923077,0.8525924445036741,-0.1095890410958904,31.191787005583237,0.208,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_514,0.6281124798741904,1.8228699551569507,0.4632691012199478,-0.13733075435203096,22.080254269072576,0.099,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_566,1.20884902540462,2.6489208633093524,1.0456828888779865,0.06840891621829362,34.43136328768445,0.363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_575,0.7945238968341279,1.609230769230769,0.6079072901316595,-0.004594180704441042,15.16350793151491,0.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_577,0.7166802767868656,1.9093198992443323,0.538441834678362,-0.10282485875706214,23.271375294445928,0.232,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_617,1.1231710242264332,3.0189274447949526,0.9428882661683906,-0.03132161955691368,32.991922591021265,0.262,"{""type"":""MultiPoint"",""coordinates"":[]}"
