system:index,GVI,MSAVI2,NLI,RDVI,SGI,estimatefAPAR,.geo
1_745,3.573208722741433,0.8582691951007746,0.99980698133658,30.777514030999985,7.0576923076923075,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_781,3.4000000000000004,0.8244860706156487,0.9998145249324301,33.079368257518865,5.698795180722891,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_797,4.437956204379562,0.859691066330015,0.9998117379157586,31.07795548689518,7.1291866028708135,0.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_801,3.5771428571428574,0.8526449308512838,0.9998161019854752,31.862360409759237,6.788135593220339,0.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_832,3.786516853932584,0.8438580511617602,0.999816796963513,32.39856486136603,6.406015037593985,0.351,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_846,4.076923076923077,0.8742007675054992,0.999809476369905,29.9361815593209,7.951807228915663,0.344,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_853,3.7021943573667713,0.8486238461953235,0.9997982425773044,30.632485377353017,6.607929515418502,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_856,3.9567901234567904,0.8498980163828946,0.9998131404156734,31.7613682864959,6.66390041493776,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_868,4.148014440433213,0.8884645528432884,0.9998436297565689,31.82452876186585,8.968553459119496,0.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_877,4.204301075268817,0.859462539021024,0.9998064982442562,30.667926880218605,7.117647058823529,0.353,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_881,2.402061855670103,0.7544986791863266,0.9997520968474982,30.085280247842814,4.074074074074074,0.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_884,3.9595375722543356,0.8525274695853113,0.9998281780523609,32.970191378775354,6.782608695652174,0.337,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_914,3.5912596401028276,0.8454281412655291,0.9998269631531828,33.25313663435794,6.471014492753623,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_924,3.330708661417323,0.8296541429861009,0.9997935933885245,31.153892088020147,5.871886120996441,0.358,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_946,3.34020618556701,0.8378456471737081,0.9998074840742435,31.895660566989342,6.168498168498169,0.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_950,3.817891373801917,0.8679991456801872,0.9998249982521811,31.682751133554422,7.577889447236181,0.355,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_982,2.303724928366762,0.7349967960740287,0.9997702250384384,31.383508090205506,3.7741407528641573,0.36,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_991,4.240816326530612,0.887811681425319,0.999825327510917,30.1675990694229,8.916666666666666,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_993,2.152542372881356,0.7236021499788876,0.9997028999622556,27.62515367227878,3.6186770428015564,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_997,2.3886925795053005,0.7590764130834486,0.9997488574918474,29.845090245544675,4.151515151515151,0.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1002,3.8356164383561646,0.880274294808487,0.9998304840782923,31.261167517551304,8.355029585798816,0.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1004,4.305439330543933,0.8863956236505146,0.9998208919580489,29.91224180217404,8.805555555555555,0.359,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1026,4.205128205128205,0.8874795321789861,0.9998153216941067,29.366760837150913,8.89051094890511,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
