system:index,B2,B3,B4,B8,LAI,.geo
1_22628,548.0,717.0,819.0,1031.0,0.6021971702575684,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22648,557.0,728.0,824.0,1041.0,0.586580753326416,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22659,614.0,777.0,898.0,1162.0,0.6897253394126892,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22672,645.0,863.0,977.0,1251.0,0.683396577835083,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22675,533.0,678.0,822.0,1047.0,0.6422799229621887,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22681,650.0,846.0,966.0,1206.0,0.6703147292137146,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22710,526.0,703.0,775.0,983.0,0.6753005385398865,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22713,583.0,745.0,873.0,1186.0,0.6086772084236145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22749,601.0,691.0,868.0,1150.0,0.6369351744651794,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22761,572.0,774.0,860.0,1095.0,0.6422975063323975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22766,1030.0,1240.0,1294.0,1534.0,0.6426054835319519,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22767,725.0,882.0,968.0,1181.0,0.6700497269630432,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22779,598.0,762.0,935.0,1202.0,0.6114303469657898,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22785,688.0,877.0,924.0,1208.0,0.6329278945922852,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22803,600.0,777.0,879.0,1158.0,0.7064170241355896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22827,526.0,655.0,771.0,1047.0,0.6717082262039185,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22853,643.0,823.0,902.0,1158.0,0.6094790101051331,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22857,535.0,714.0,766.0,1003.0,0.6180322170257568,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22861,566.0,724.0,839.0,1118.0,0.6165512204170227,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22874,631.0,775.0,918.0,1296.0,0.6761250495910645,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22901,710.0,929.0,1039.0,1311.0,0.6431290507316589,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22904,627.0,831.0,923.0,1199.0,0.6472065448760986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22923,925.0,1121.0,1419.0,2112.0,0.5967767238616943,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22952,651.0,851.0,923.0,1183.0,0.6255307197570801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22970,667.0,861.0,946.0,1201.0,0.6227108240127563,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22978,543.0,673.0,784.0,1033.0,0.6607122421264648,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22982,536.0,723.0,824.0,1115.0,0.6940156817436218,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22994,732.0,804.0,1253.0,2525.0,0.5831243395805359,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23019,727.0,848.0,961.0,1180.0,0.6516914367675781,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23025,693.0,855.0,970.0,1242.0,0.6936955451965332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23030,548.0,672.0,806.0,1081.0,0.6893865466117859,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23038,715.0,931.0,1029.0,1300.0,0.6558278203010559,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23071,718.0,945.0,1026.0,1291.0,0.6621413826942444,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23072,776.0,971.0,1250.0,1865.0,0.6067361235618591,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23091,601.0,806.0,863.0,1158.0,0.6697258353233337,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23100,583.0,741.0,889.0,1134.0,0.6200111508369446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23106,748.0,924.0,1005.0,1268.0,0.6849499940872192,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23113,546.0,763.0,815.0,1077.0,0.6689701676368713,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23119,578.0,763.0,874.0,1113.0,0.5809617042541504,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23149,712.0,954.0,1001.0,1286.0,0.6305772662162781,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23155,586.0,751.0,895.0,1200.0,0.6933491826057434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23166,552.0,723.0,806.0,1047.0,0.5960543751716614,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23181,578.0,726.0,837.0,1170.0,0.604385495185852,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23182,676.0,847.0,958.0,1222.0,0.6730355024337769,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23184,638.0,813.0,950.0,1242.0,0.7146778702735901,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23190,617.0,830.0,876.0,1101.0,0.5883572697639465,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23200,588.0,803.0,921.0,1209.0,0.709646999835968,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23208,556.0,707.0,803.0,1045.0,0.6202594041824341,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23209,703.0,894.0,969.0,1224.0,0.6911101341247559,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23228,557.0,692.0,790.0,1014.0,0.6494377851486206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23242,860.0,977.0,1152.0,1748.0,0.5930137038230896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23247,626.0,776.0,1000.0,1249.0,0.6943742036819458,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23258,679.0,817.0,1218.0,2162.0,0.6175270080566406,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23263,576.0,753.0,871.0,1134.0,0.599280834197998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23275,754.0,1019.0,1126.0,1406.0,0.6624001860618591,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23286,855.0,898.0,1380.0,2715.0,0.5866339206695557,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23298,1026.0,1381.0,1476.0,2060.0,0.7068565487861633,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23332,620.0,794.0,933.0,1225.0,0.6222661137580872,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23344,659.0,834.0,975.0,1231.0,0.6611220836639404,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23351,608.0,768.0,913.0,1269.0,0.6996328234672546,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23365,642.0,825.0,951.0,1244.0,0.7113592624664307,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23379,787.0,1031.0,1053.0,1418.0,0.6858296394348145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23381,699.0,900.0,994.0,1240.0,0.7053744792938232,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23395,1096.0,1162.0,1114.0,1229.0,0.6921229362487793,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23401,593.0,789.0,881.0,1194.0,0.7132120132446289,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23435,595.0,789.0,918.0,1186.0,0.6317629814147949,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23448,792.0,945.0,1305.0,2237.0,0.5994164347648621,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23493,563.0,672.0,822.0,1047.0,0.6865496039390564,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23500,633.0,761.0,970.0,1202.0,0.6368560194969177,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23504,722.0,784.0,944.0,1140.0,0.658102810382843,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23512,956.0,1166.0,1532.0,2694.0,0.711189329624176,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23523,773.0,924.0,1215.0,2198.0,0.7066777348518372,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23531,631.0,916.0,947.0,1156.0,0.7126063108444214,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23555,726.0,957.0,1037.0,1329.0,0.6915985941886902,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23562,879.0,1092.0,1194.0,1429.0,0.6752718687057495,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23565,533.0,726.0,809.0,1126.0,0.6723712086677551,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23574,575.0,712.0,877.0,1124.0,0.684263288974762,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23591,767.0,875.0,886.0,1058.0,0.6915245652198792,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23602,666.0,813.0,934.0,1254.0,0.6452878713607788,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23617,741.0,983.0,1227.0,1931.0,0.6900219321250916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23621,540.0,680.0,815.0,1040.0,0.6607403755187988,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23636,735.0,961.0,1274.0,1769.0,0.6681165099143982,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23648,560.0,714.0,859.0,1119.0,0.6838934421539307,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23652,645.0,828.0,914.0,1185.0,0.6489982604980469,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23665,879.0,946.0,1390.0,2478.0,0.6992005705833435,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23680,626.0,815.0,929.0,1174.0,0.6976020336151123,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23683,781.0,1024.0,1190.0,1946.0,0.6081525683403015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23708,684.0,815.0,987.0,1250.0,0.5983944535255432,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23725,711.0,920.0,956.0,1201.0,0.6588200926780701,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23733,661.0,846.0,993.0,1279.0,0.6786807179450989,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23757,726.0,955.0,1068.0,1356.0,0.6866844296455383,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23768,762.0,1023.0,1075.0,1438.0,0.6772475242614746,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23772,590.0,800.0,883.0,1184.0,0.6808943748474121,"{""type"":""MultiPoint"",""coordinates"":[]}"
