system:index,B4,B8,NDGI,NLI,RDVI,estimatefCOVER,.geo
6_4482,491.0,2661.0,0.1105072463768116,0.9998613270912637,38.65152461844098,0.457,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4521,513.0,2535.0,0.18116520351157223,0.9998403544690946,36.62466575591214,0.465,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4575,581.0,2895.0,0.09922480620155039,0.9998613630848312,39.24853680032707,0.472,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4582,482.0,2647.0,0.16608996539792387,0.999862425077682,38.70393477353819,0.463,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4600,554.0,2558.0,0.09624796084828711,0.9998306824749332,35.92344044304194,0.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4606,417.0,2352.0,0.20722433460076045,0.9998492495283625,36.77218966593825,0.462,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4618,393.0,2517.0,0.1664899257688229,0.999875940743238,39.37386228105944,0.461,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4620,573.0,2632.0,0.1350943396226415,0.9998345842239827,36.369918653185266,0.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4634,458.0,2618.0,0.12844909609895339,0.9998663628610136,38.94579608262942,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4644,339.0,2300.0,0.23562570462232243,0.9998718418611737,38.17314118387273,0.462,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4648,431.0,2399.0,0.21206581352833637,0.9998502336494064,36.99404975552809,0.456,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4656,689.0,3199.0,0.10981912144702842,0.9998653546069146,40.254143768498906,0.456,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4659,332.0,2150.0,0.25225225225225223,0.9998563651026038,36.49160710632318,0.463,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4661,339.0,2367.0,0.20047169811320756,0.9998789940011008,38.98558491911577,0.471,"{""type"":""MultiPoint"",""coordinates"":[]}"
