system:index,B4,EVI2,GVI,NDVI,RDVI,estimatefCOVER,.geo
1_2151,1931.0,0.42423246168630824,1.0469043151969983,0.2578785549577248,18.603037944197897,0.104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2154,1577.0,0.526873491493495,1.2092511013215859,0.3122546881814217,21.145891172419194,0.143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2157,2035.0,0.4221715109296181,1.1319702602230484,0.25675675675675674,19.0,0.139,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2183,1940.0,0.4545454545454546,1.2002583979328167,0.2742237186681631,20.0502361973002,0.11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2197,1931.0,0.4367553164747876,1.0374233128834356,0.2646610814927647,19.18016953196564,0.112,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2228,1684.0,0.4888601691343803,1.1257774706288872,0.292436974789916,20.176032040705206,0.129,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2232,1813.0,0.43147412497315873,1.0268149117069982,0.26180781758957655,18.34897417896149,0.122,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2240,1882.0,0.4005484988452656,1.0045219638242893,0.24493480441323973,17.29350734202191,0.115,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2287,1886.0,0.4911419049289598,1.1255384615384614,0.29363295880149815,21.457317618955756,0.147,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2297,1663.0,0.4963719849210623,1.3089675960813865,0.29638248360482333,20.37723876118542,0.102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2305,2040.0,0.3853188635532252,0.8551375631667602,0.23652694610778444,17.290750703200814,0.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2313,1856.0,0.4461496407372696,1.1937457511896667,0.26972260476096793,19.229916565791104,0.102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2317,1691.0,0.43460145968622493,0.8874430709173715,0.2635017421602787,17.8560104170539,0.131,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2335,2081.0,0.40301550424351623,0.9440677966101696,0.2462875769648678,18.301669450414085,0.129,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2360,2087.0,0.38629702875932237,0.9606025492468135,0.23706817766404678,17.535034258029516,0.13,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2361,1863.0,0.4553845756629057,1.1482939632545932,0.27467393420284214,19.686668615085953,0.143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2378,1883.0,0.42674713775060874,1.201513067400275,0.25924468922108573,18.484709908283413,0.121,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2380,2011.0,0.43461715031290016,1.0258367586611863,0.2635048525911005,19.472634204919316,0.119,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2395,1798.0,0.42575856266623247,1.0285714285714285,0.25870954442383015,18.01889225929016,0.114,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2399,1900.0,0.48118985126859143,1.3642611683848798,0.2883895131086142,21.074151232902974,0.127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2411,2004.0,0.41004220030423477,1.0585335797905113,0.2501403180542563,18.28763531019089,0.117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2417,1971.0,0.4322259792185996,1.1657032755298653,0.2622122403144301,19.16662069016123,0.104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2428,2034.0,0.42458831436938893,1.0702280912364945,0.2580703994163779,19.109411690948903,0.123,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2439,1901.0,0.4345381115484893,1.0863723608445297,0.26346377373111196,18.929097502900458,0.114,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2450,1942.0,0.43005090398455326,1.0699562773266709,0.2610350076103501,18.924587986040812,0.117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2451,1721.0,0.40638772823536146,0.9757952973720609,0.24814329401485366,16.789603390219607,0.098,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2500,1935.0,0.4666254635352287,1.1018913971934108,0.28066914498141265,20.586656088882748,0.133,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2503,2100.0,0.35581311554167666,0.9836956521739131,0.2200557103064067,16.148251196742386,0.099,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2520,1746.0,0.47507639419404124,1.1123822341857337,0.2851586489252815,19.930529294349338,0.137,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2523,1820.0,0.426772075572826,0.9520504731861199,0.25925925925925924,18.174055581963437,0.116,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2525,1956.0,0.41867975066963725,1.130659767141009,0.25485714285714284,18.466154368001398,0.156,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2529,1646.0,0.4358792813523321,0.9748603351955307,0.2641931157800626,17.671340154386534,0.101,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2543,1598.0,0.4537444270394023,1.0610294117647059,0.27380140877073395,18.163994537786404,0.109,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2558,2096.0,0.4276958503907704,1.0570934256055362,0.25975631290835244,19.547417637329655,0.136,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2564,1940.0,0.371386164171399,0.8721986674742581,0.22878155436294972,16.227370984597446,0.116,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2570,1697.0,0.4282862804790488,1.0380818053596617,0.2600828428166558,17.614733363871004,0.102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2586,1735.0,0.5099838100377766,1.1166883963494132,0.3034925732637495,21.421502533080847,0.151,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2620,1848.0,0.4520153300657003,1.0750481077613854,0.2728703521542396,19.454335723378748,0.121,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2628,1932.0,0.4391578207734197,1.152454780361757,0.26595744680851063,19.296124624698994,0.108,"{""type"":""MultiPoint"",""coordinates"":[]}"
