system:index,GNDVI,GVI,MSR,RDVI,SGI,estimateLAI,.geo
0_5,0.599367422245651,2.9921052631578946,0.9353756773158226,25.36460453804648,3.745679012345679,1.263,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,0.6262269336474283,3.3508403361344534,1.3563274009303832,34.3468635779631,5.552278820375335,1.401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,0.6445623342175066,3.6268656716417906,1.2866822391076995,34.51809717933495,5.228915662650603,1.234,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38,0.6229327453142227,3.3040935672514617,0.9528111794514782,25.194571151351994,3.8134715025906734,1.414,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_40,0.5629936066190298,2.576592082616179,0.8292664598134384,28.04517210500601,3.34621578099839,1.065,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_42,0.5582354807997462,2.5272988505747125,1.059142803359852,34.058463055971906,4.24006908462867,1.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_49,0.5971935617003714,2.9651639344262297,0.9516800757578677,28.871027448840447,3.809055118110236,1.137,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_82,0.5842630651790958,2.810734463276836,0.862220804283814,23.027476458284003,3.467866323907455,1.368,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_95,0.5631284916201117,2.578005115089514,0.9935977072072034,25.020939260644585,3.9744318181818183,1.432,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_102,0.6455555555555555,3.6426332288401255,1.2035738483014435,27.8270132276817,4.855737704918033,1.169,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_105,0.5811965811965812,2.7755102040816326,0.8683056596113626,25.66886745266571,3.490566037735849,1.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_131,0.5909844216108717,2.8897893030794166,1.0519567041703082,33.579394836354,4.2105263157894735,1.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_136,0.6162915326902465,3.212290502793296,1.1248458908542613,33.50185954292502,4.514970059880239,1.434,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_137,0.6401354784081287,3.5576470588235294,1.186942168733027,31.65667662696209,4.782716049382716,1.365,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_145,0.5562464669304692,2.5070063694267515,0.9760983120804219,34.82711162119351,3.9049645390070924,1.332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_158,0.5658362989323843,2.6065573770491803,1.1189138534559036,32.97007768120713,4.489795918367347,1.291,"{""type"":""MultiPoint"",""coordinates"":[]}"
