system:index,GVI,MSR,NDGI,RDVI,SGI,estimateLAI,.geo
0_6,4.578767123287672,1.861106367865621,0.1894093686354379,33.44628928533664,8.185929648241206,1.673,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26,3.266009852216749,1.5187938272757349,0.1958762886597938,32.58352780607522,6.344322344322344,1.759,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36,4.352941176470588,1.7356082745120778,0.16598079561042525,38.81154695206979,7.483552631578948,1.608,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_50,3.884244372990354,1.586818500774095,0.15613382899628253,30.920064697803923,6.691629955947136,1.668,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_52,4.622137404580153,1.8527393058184138,0.18284424379232506,31.768357478476762,8.138121546961326,1.7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_70,3.9235474006116204,1.8231714488679163,0.23629489603024575,33.07680539573975,7.97029702970297,1.509,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_87,3.824657534246575,1.6920092087968261,0.20065789473684212,33.909619217105664,7.246913580246914,1.703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96,3.275555555555556,1.2990681342044401,0.10565110565110565,32.61343839027654,5.285714285714286,1.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_102,4.218487394957983,1.8585053142471062,0.2205128205128205,35.75532587672685,8.171052631578947,1.715,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_117,4.192660550458716,1.7053586670239085,0.16994633273703041,33.36993154931873,7.318965517241379,1.763,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_120,4.332191780821918,1.7832119316926653,0.1845841784989858,32.34076243188722,7.746268656716418,1.691,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_124,4.356401384083045,1.892674811928843,0.21940928270042195,32.74134940349412,8.367567567567567,1.766,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_141,3.735384615384615,1.632951278021003,0.1882998171846435,31.383841153045484,6.9324324324324325,1.703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_147,4.8,2.0376426266552037,0.22807017543859648,38.15815043269845,9.227272727272727,1.703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_148,3.8766756032171585,1.4958870276505947,0.12180451127819548,33.23494163277506,6.22945205479452,1.457,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_166,2.653781512605042,0.9720769905177427,0.03119584055459272,30.892475492881793,3.889087656529517,0.898,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_195,4.256965944272446,1.921072288832119,0.23754789272030652,34.41660024125827,8.532663316582914,1.759,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_200,4.324503311258278,1.8144594980226403,0.19603960396039605,33.01544072610631,7.921182266009852,1.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_225,4.71830985915493,1.9953924101205394,0.221505376344086,33.964695700338915,8.972375690607734,1.777,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_233,4.204142011834319,1.8340718887000087,0.21364452423698385,34.62641878182316,8.031963470319635,1.782,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_244,4.872,1.847893473704566,0.16009280742459397,31.69335528073478,8.11049723756906,1.778,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_246,4.225130890052356,1.8660062403189783,0.2224,37.04715559098647,8.213991769547325,1.647,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_255,4.098245614035088,1.7367299321726075,0.18997912317327767,31.02265267106024,7.489690721649485,1.687,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_259,4.370106761565836,1.8331247315783417,0.19829424307036247,32.06726320526192,8.02659574468085,1.707,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_263,4.2983050847457624,1.816737501487184,0.1991869918699187,32.56074742273698,7.934010152284264,1.673,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_271,4.531147540983606,1.93379325398755,0.21756487025948104,34.35994685612,8.607142857142858,1.735,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_280,4.1453900709219855,1.7707848486031312,0.19745222929936307,31.16286877429455,7.677248677248677,1.709,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_288,4.316151202749141,1.7470605132422243,0.17338709677419356,32.06162018027902,7.546341463414634,1.655,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_405,3.112554112554113,1.3399795560573966,0.14215080346106304,32.76196330243888,5.475504322766571,1.595,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_408,4.302816901408451,1.7719439874188936,0.18333333333333332,31.753493844423634,7.683673469387755,1.755,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_414,3.80385288966725,1.5709217324175522,0.15821501014198783,41.42637318408199,6.609638554216867,1.549,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_435,2.971476510067114,1.2322987915458008,0.11297852474323063,35.490252995799295,4.983157894736842,1.605,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_437,4.1797385620915035,1.8583392193341057,0.224,32.979127062583174,8.170103092783505,1.759,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_448,4.5369127516778525,1.7638539919628333,0.15953307392996108,33.19657906677033,7.638888888888889,1.588,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_475,3.458015267175573,1.5568170511078459,0.18910741301059,33.01856663415687,6.537313432835821,1.684,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_479,4.635687732342007,1.9102016670699575,0.20089285714285715,32.47480530120285,8.46927374301676,1.78,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_532,4.212871287128713,1.8515389057970313,0.2187028657616893,37.979681894224306,8.13127413127413,1.688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_534,3.854984894259819,1.7213103376713672,0.20802919708029197,32.54635695246387,7.405529953917051,1.699,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_535,4.5088967971530245,1.9244634016936002,0.21645021645021645,32.87539790116932,8.552486187845304,1.769,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_536,4.122186495176849,1.7607987194610892,0.19615384615384615,32.60308504226295,7.62200956937799,1.646,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_543,4.2,1.8492355922098846,0.21911037891268534,36.290061078572656,8.118143459915611,1.709,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_560,2.56508875739645,1.2222791431689977,0.16151202749140894,25.245803346525857,4.938524590163935,1.493,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_562,4.052287581699346,1.837619307330237,0.2289156626506024,32.47833658803806,8.052083333333334,1.73,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_589,2.92,1.2459113177191177,0.12540192926045016,33.226715133159736,5.044117647058823,1.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_596,4.254716981132075,1.9348598027598645,0.2421875,34.201178977217076,8.61340206185567,1.79,"{""type"":""MultiPoint"",""coordinates"":[]}"
