system:index,B2,B8,GVI,RDVI,SGI,estimatefCOVER,.geo
0_660,257.0,1768.0,3.3227383863080684,30.320698057253843,4.817438692098093,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_666,233.0,1455.0,3.229651162790698,24.944503620428396,3.779220779220779,0.304,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_673,201.0,1348.0,2.8404558404558404,23.595396247950323,3.6432432432432433,0.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_674,231.0,1579.0,3.5504322766570606,28.07259540314617,4.550432276657061,0.339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_687,295.0,1715.0,2.93348623853211,27.27039375546617,3.83668903803132,0.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_694,286.0,1668.0,3.0485436893203888,27.511082909343756,4.038740920096853,0.289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_695,205.0,1350.0,3.455445544554456,25.268628714718613,4.245283018867925,0.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_730,250.0,1627.0,2.9586374695863746,29.741734429171718,5.14873417721519,0.296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_760,309.0,1649.0,2.926190476190476,26.22670867595275,3.6808035714285716,0.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_765,182.0,1235.0,3.2294520547945202,23.731783137054776,4.0625,0.268,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_767,256.0,1237.0,2.6489675516224187,21.85,3.4077134986225897,0.239,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_806,202.0,1273.0,3.243333333333333,24.4339470102041,4.201320132013201,0.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_844,193.0,1412.0,3.691029900332226,27.132088654244516,4.835616438356165,0.325,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_846,187.0,1143.0,3.4474708171206228,23.82030387696242,4.517786561264822,0.278,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_852,241.0,1566.0,3.5523255813953485,28.477115676875844,4.7889908256880735,0.34,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_856,213.0,1246.0,3.006430868167203,22.685229717928,3.6432748538011697,0.302,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_875,256.0,1735.0,3.121140142517815,28.80715533189946,4.305210918114144,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_887,249.0,1739.0,3.2938271604938274,27.164576343067097,3.747844827586207,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_911,262.0,1516.0,3.1878453038674035,24.996647473090214,3.6354916067146283,0.275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_950,230.0,1381.0,3.2492307692307696,23.94552026667756,3.663129973474801,0.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_963,237.0,1635.0,3.6982758620689653,27.72480575544155,4.213917525773196,0.338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_972,231.0,1503.0,3.2100840336134455,29.027132073398388,5.406474820143885,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_987,239.0,1694.0,3.321428571428571,30.73627186176292,5.360759493670886,0.331,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_998,301.0,1777.0,3.3026634382566584,27.927518412689963,3.888402625820569,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_999,258.0,1577.0,3.429775280898877,27.443357303404127,4.29700272479564,0.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1002,261.0,1656.0,3.1924050632911394,27.58485584237591,4.099009900990099,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1010,253.0,1547.0,3.1363636363636367,25.906498541228352,3.838709677419355,0.281,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1032,266.0,1849.0,3.0816777041942602,30.24855734144916,4.4987834549878345,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1044,218.0,1270.0,3.1233766233766236,23.5,3.8484848484848486,0.279,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1049,150.0,1159.0,3.617529880478088,23.72578471103965,4.390151515151516,0.271,"{""type"":""MultiPoint"",""coordinates"":[]}"
