system:index,cart_estimateLAI,estimateLAI,rf_estimateLAI,.geo
1001,1144.5,1371,1079.8133333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1002,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1003,3273.5,3557,3311.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1005,1659.0,1773,1738.1616666666662,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,2704.5,2687,2697.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,2585.0,2758,2713.578333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,2475.0,2455,2702.51,"{""type"":""MultiPoint"",""coordinates"":[]}"
1013,0.0,0,-30.528654053326964,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,2432.0,1856,2280.1733333333327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1017,2739.5,2739,2668.5533333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1018,3024.5,2211,2780.65,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,1757.0,1693,1784.5216666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,1379.0,1210,1265.4533333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1021,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1022,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,1757.0,2026,1793.095,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1026,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,2460.3333333333335,2570,2365.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,1379.0,1035,1285.9116666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,3160.0,3077,3158.998333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1030,3341.5,3318,3257.5300000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1031,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1032,3069.6666666666665,3056,3165.1283333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,1742.0,2372,2155.4449999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1037,1757.0,1823,1855.3833333333337,"{""type"":""MultiPoint"",""coordinates"":[]}"
1038,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1039,1379.0,1406,1339.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1040,2838.6666666666665,3044,2875.1000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1041,2251.0,1926,2239.4183333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1042,2214.6666666666665,2579,2544.9249999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1043,2663.0,2881,2715.7049999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1044,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1045,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1046,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1047,826.3333333333334,882,909.0516666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1048,722.5,520,633.19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1049,0.0,0,-0.1369873866602954,"{""type"":""MultiPoint"",""coordinates"":[]}"
