system:index,EVI2,NDGI,NDVI,RDVI,SGI,estimateLAI,.geo
0_18,0.6014200932598558,-0.003971405877680699,0.35012853470437016,15.441422607184744,2.0775316455696204,0.41,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22,0.7992673382732496,0.021384928716904276,0.4441873915558126,26.120333715895132,2.598335067637877,0.706,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31,0.8852247934475483,0.044964028776978415,0.4824561403508772,30.907331782195904,2.864406779661017,1.064,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36,1.094489055109449,0.0609375,0.5697924123120973,30.118258920476446,3.64891846921797,1.02,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_39,1.0805748154775217,0.09750566893424037,0.5642335766423358,29.53481182416863,3.5896147403685092,0.956,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_62,0.4473083705009854,0.0032119914346895075,0.27037617554858934,13.658680797519452,1.7411385606874328,0.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_76,0.734656328032593,-0.0038119440914866584,0.4143810229799852,30.439381849558757,2.4151898734177215,0.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_80,0.9282391454169538,0.07741935483870968,0.5011627906976744,20.784665635544762,3.0093240093240095,0.541,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_90,0.7559677082608394,0.009659806803863923,0.42431640625,27.15625,2.474130619168787,0.746,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_95,0.7537340955190854,0.022490400438837082,0.42330097087378643,23.530356348829752,2.468013468013468,0.694,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_120,0.8814617574143788,0.047108387590961316,0.48080133555926546,33.28312300744249,2.852090032154341,1.008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_139,0.48702881942751264,-0.013569937369519834,0.29149945275446915,15.2613257206188,1.822863027806385,0.473,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_148,1.0584289016817008,0.04955527318932656,0.5552913198573127,32.206896551724135,3.4973262032085564,1.037,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_182,0.9790870198434372,0.041463414634146344,0.5226237473428484,29.990589677047733,3.1895674300254453,0.922,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_194,0.7213074029384625,0.03676470588235294,0.40813253012048195,25.760890783820027,2.3791348600508906,0.639,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_212,0.44303210243087776,-0.014591439688715954,0.2680701754385965,14.311031200968285,1.732502396931927,0.213,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_233,0.7929906282925747,0.004810996563573883,0.44135802469135804,22.470282157705842,2.5801104972375692,0.605,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_236,0.7379782962200909,-0.00321285140562249,0.4159457563712883,27.20234365977538,2.424339471577262,0.783,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_249,0.6792519407198306,-0.008307372793354102,0.38815374921235035,21.867908428325183,2.2687950566426363,0.653,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_266,0.6827336655970506,-0.012126111560226353,0.3898635477582846,17.66043142753392,2.2779552715654954,0.461,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_273,0.9946292626968402,0.010924981791697014,0.529126213592233,28.41560490191521,3.247422680412371,0.891,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_322,0.8818751450452542,0.0665907797381901,0.4810126582278481,27.039586544663162,2.8536585365853657,0.979,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_332,0.8622215927198046,0.0072992700729927005,0.472356935014549,30.33399593539139,2.7904411764705883,0.895,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_342,0.7395139577724246,0.010998307952622674,0.4166666666666667,26.378652985574025,2.4285714285714284,0.687,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_349,0.7761234556727158,0.004997223764575236,0.4336283185840708,24.391352014542882,2.53125,0.718,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_372,0.5517352663720769,-0.004352557127312296,0.3250457038391225,16.99898910856113,1.9631635969664138,0.474,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_374,0.9665333174110342,0.07290867229470453,0.5173791450259688,25.88447397202867,3.1440397350993377,0.997,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_376,0.4729038854805726,0.030103995621237,0.28404040404040404,14.130831682544521,1.7934537246049662,0.195,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_377,0.5328218243819268,0.023,0.3153468815697267,16.846726489521757,1.9211873080859774,0.367,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_393,0.9923606950269624,0.035150280183392765,0.5281514698555058,33.46163648260007,3.2386483632523757,1.098,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_423,0.8435522151898734,0.002531645569620253,0.46409140369967355,28.137873670759898,2.731979695431472,0.917,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_462,0.973620212119165,0.07925508878302295,0.5203068592057761,34.63852793247022,3.169332079021637,1.01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_479,0.9210104571497257,0.030334728033472803,0.4979691307879773,30.26161316782518,2.983818770226537,1.043,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_482,0.8957901106500692,0.03215077605321508,0.4870740305522914,28.417754004419475,2.8991981672394043,0.832,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_500,1.1613040698913277,0.06782334384858044,0.5960355434039645,32.24106058578895,3.9509306260575294,1.115,"{""type"":""MultiPoint"",""coordinates"":[]}"
