system:index,B2,B8,GVI,RDVI,SGI,estimatefAPAR,.geo
0_1232,372.0,1840.0,2.9148936170212765,28.77498913987632,4.0,0.24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1234,220.0,1144.0,3.46875,24.37104637868255,4.80672268907563,0.277,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1235,450.0,1974.0,2.3628620102214652,28.038841918870677,3.512455516014235,0.3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1267,446.0,2256.0,2.6682926829268294,32.15666776970652,4.086956521739131,0.352,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1288,389.0,1391.0,2.118834080717489,19.75627446669383,2.6444866920152093,0.106,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1312,289.0,1638.0,2.872340425531915,30.884599410535014,5.767605633802817,0.358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1363,366.0,1492.0,2.4457274826789837,23.243883466611315,3.2155172413793105,0.178,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1367,671.0,1989.0,1.1857142857142855,20.23857702507763,2.207547169811321,0.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1381,251.0,1405.0,3.2192192192192195,25.588638408759394,4.169139465875371,0.313,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1395,267.0,1426.0,3.2440476190476186,25.935923923098503,4.231454005934718,0.269,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1396,323.0,1796.0,2.789029535864979,30.69725764001363,4.880434782608695,0.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1414,250.0,1297.0,3.1838709677419352,24.65381734819391,4.197411003236246,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1437,551.0,2005.0,1.9270072992700729,25.18705290838037,2.8807471264367814,0.207,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1483,752.0,2434.0,1.6543075245365322,25.699396159500772,2.5866099893730072,0.241,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1493,441.0,1856.0,2.2390924956369984,25.369361061164533,3.0984974958263773,0.197,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1536,266.0,1618.0,3.1917098445595853,30.464229105366517,5.618055555555555,0.364,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1541,563.0,1764.0,1.5714285714285716,21.631199568869814,2.5491329479768785,0.191,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1573,364.0,2036.0,3.35042735042735,30.063003434118613,3.9381044487427466,0.363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1595,536.0,2143.0,2.0746054519368724,28.63527115379099,3.3801261829652995,0.318,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1633,549.0,1997.0,1.836647727272727,26.230049579541014,3.08179012345679,0.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1638,228.0,1563.0,3.9936102236421727,30.390642194677728,5.920454545454546,0.36,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1646,270.0,1348.0,2.976401179941003,24.851453793722044,4.084848484848485,0.274,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1706,247.0,1411.0,3.2757575757575754,25.345469749821426,4.054597701149425,0.202,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1740,390.0,1538.0,2.4026548672566372,22.22062218613194,2.912878787878788,0.156,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1741,276.0,1521.0,3.0026315789473683,26.76934975161709,4.225,0.263,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1799,346.0,1575.0,2.5876993166287017,25.4849772168825,3.6374133949191685,0.24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1811,688.0,2584.0,1.7995666305525462,29.058071075892723,2.9531428571428573,0.332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1813,221.0,1277.0,3.496478873239437,26.59033872117809,5.2987551867219915,0.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1841,399.0,2299.0,3.005226480836237,30.815004545179836,3.6434231378763866,0.352,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1857,474.0,2039.0,2.2160883280757098,27.83864533067866,3.359143327841845,0.264,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1903,307.0,1784.0,3.148837209302326,28.33372548748223,4.0,0.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1928,261.0,1459.0,3.204610951008646,25.342444595787555,3.9010695187165774,0.215,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2001,469.0,1749.0,1.9198664440734556,22.73986329089248,2.7413793103448274,0.195,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2048,551.0,2294.0,1.96,29.73603547768127,3.4035608308605343,0.333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2091,265.0,1094.0,2.152737752161383,22.38161874312062,4.082089552238806,0.263,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2108,393.0,1779.0,2.1486725663716815,28.45273555398425,4.052391799544419,0.345,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2109,305.0,1481.0,2.4522144522144522,26.676594650354655,4.330409356725146,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2133,408.0,1885.0,2.3600713012477716,27.624930031058664,3.570075757575758,0.242,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2147,259.0,1413.0,2.871232876712329,27.56848339310207,5.064516129032258,0.275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2218,204.0,1178.0,3.3791821561338287,22.635992139990794,3.849673202614379,0.172,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2226,265.0,1665.0,3.3472584856396868,28.941267098946284,4.599447513812155,0.325,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2229,409.0,2275.0,2.8624787775891343,29.999026290996948,3.4892638036809815,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2262,507.0,2032.0,2.001477104874446,26.904668826041743,3.170046801872075,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
