system:index,EVI2,GVI,MSR,NDGI,SGI,estimateLAI,.geo
0_11,0.817388857625211,1.9514767932489452,0.628536981901793,-0.05341987019470794,2.652132701421801,0.976,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_37,0.3732311150819956,1.412532637075718,0.2636353087613479,-0.20346620450606587,1.596774193548387,0.409,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_46,0.4420432220039293,1.5594563986409966,0.3154750974481142,-0.19323892188213795,1.7304747320061256,0.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_57,1.2382804450855143,3.415194346289753,1.0829166249916646,-0.008756567425569177,4.338541666666667,1.241,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_137,0.8604004645106802,2.2641711229946524,0.6687335116329137,-0.0792712949286066,2.7846715328467155,0.882,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_185,0.9340222575516693,1.9399441340782122,0.7403381793252902,0.014883061658398299,3.028776978417266,0.935,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_190,0.7355832241153342,1.6072644721906926,0.5549581141761039,-0.037684325505188423,2.417894736842105,0.973,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_197,0.9916836821507571,2.5986666666666665,0.798947200774681,-0.05303030303030303,3.23621103117506,1.145,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_203,0.8664365136298423,2.264945652173913,0.6745050993914535,-0.07595731324544884,2.8039673278879813,0.781,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_243,1.181559395946055,2.876558603491272,1.01200822148751,0.02165605095541401,4.048177083333333,1.222,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_266,0.6793697818475626,1.4746227709190673,0.5063805594660026,-0.04330708661417323,2.269182389937107,0.834,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_305,0.3887597386277959,1.371771217712177,0.2752199646548314,-0.18649155722326455,1.6261859582542695,0.24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_307,0.38749826493314204,1.235897435897436,0.2742982879331757,-0.15857605177993528,1.6238361266294228,0.067,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_341,0.6158502252252253,1.8137847642079805,0.45313978853002107,-0.14256091238983928,2.1116152450090744,0.724,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_342,0.8317586040527502,2.0557491289198606,0.6418577043433075,-0.06260206859009254,2.6956967213114753,0.981,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_376,0.9502799025682663,1.940782122905028,0.756581994899915,0.02402745995423341,3.085580304806565,0.845,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_404,0.8801676098319583,1.851305334846765,0.6876233473018429,-5.672149744753262E-4,2.8480725623582765,0.959,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_408,1.2567189851644809,3.2092050209205025,1.1067119627793562,0.026485325697924122,4.438235294117647,1.195,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_463,1.1527751104282697,3.2447368421052634,0.9774486163496209,-0.04100946372239748,3.91030303030303,1.277,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_473,0.7089360524859696,1.5211693548387095,0.5317159809030675,-0.03595724003887269,2.3461538461538463,0.888,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_486,1.0564582195521575,3.1449044585987265,0.8679604223350632,-0.0858806404657933,3.4892761394101877,0.856,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_514,0.6447831184056272,1.927906976744186,0.4771512233242937,-0.14597815292949354,2.1819757365684573,0.448,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_577,0.8265768711041367,2.205298013245033,0.637057025033495,-0.08926417370325694,2.679955703211517,0.74,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_603,0.8179815309614212,1.772277227722772,0.6291189140203846,-0.021791767554479417,2.654028436018957,0.764,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_617,0.9810142027429352,2.550834597875569,0.787937725838182,-0.052480230050323505,3.19672131147541,0.857,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_618,0.8829325975561687,2.1762672811059907,0.690264718513893,-0.05291871249318058,2.8569948186528498,0.846,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_628,0.4253684366437088,1.367195767195767,0.3027926115736399,-0.16482545293857712,1.697268588770865,0.214,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_629,0.9546408888111277,3.412671232876712,0.7609892198679056,-0.1745583038869258,3.101083032490975,1.161,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_662,0.3186000248663434,1.1675438596491228,0.22338411206172837,-0.1830884987459692,1.4966686856450635,0.271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_670,1.1867726051924798,2.975954738330976,1.0183936790126602,0.012168933428775949,4.073913043478261,1.217,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_690,1.1875711729298843,3.3469101123595504,1.0193399566052654,-0.03195105370496261,4.077733860342556,1.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_701,0.5232687597417056,1.493193717277487,0.37849172118627183,-0.13496376811594202,1.9002394253790902,0.443,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_743,1.0021856518385188,2.304860088365243,0.8099481784733851,-0.004398826979472141,3.2759124087591243,1.238,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_780,0.8925886143931256,2.732745961820852,0.699598883159307,-0.12748238308776424,2.8886363636363637,0.997,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_788,0.44422019074755636,1.3477297895902547,0.3171411783848587,-0.15011764705882352,1.734860883797054,0.314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_801,1.0762895749087682,3.0893760539629005,0.8898223650461362,-0.06761006289308176,3.5714285714285716,1.238,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_813,0.69429711036619,1.5984251968503935,0.5191090506255,-0.05925925925925926,2.3076923076923075,0.437,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_828,0.6695959298658705,1.318869828456105,0.4980456017758605,-0.016377171215880892,2.244140625,0.782,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_831,0.938074731978648,2.5,0.744343728378969,-0.06988896146309602,3.0427350427350426,0.867,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_876,0.7631987895145789,2.1785714285714284,0.5793968768154807,-0.12058328659562535,2.4944944944944947,0.551,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_883,0.49013314748927117,1.43343653250774,0.35252543716731605,-0.141718334809566,1.8293250581846392,0.371,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_903,1.019908276005837,2.323809523809524,0.8285821214400789,0.0029850746268656717,3.3437125748502994,1.061,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_925,0.34937455922200367,1.3537263626251392,0.24597665052213888,-0.20512820512820512,1.5524578136463683,0.163,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_929,0.984649403922574,2.4326923076923075,0.7917677457405741,-0.03345724907063197,3.210431654676259,0.876,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_980,0.908810492162866,2.795275590551181,0.7154046002657631,-0.1265474552957359,2.942612942612943,1.032,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1022,0.9989535694907372,2.6433823529411766,0.8065012487679657,-0.05500868558193399,3.2634467618002194,1.024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1033,0.8281114952463267,2.3013513513513515,0.638479595422349,-0.10303030303030303,2.6846153846153844,0.757,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1058,0.9614305750350631,2.343283582089552,0.7679313887560335,-0.03365384615384615,3.125581395348837,0.99,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1082,1.0864708685809603,2.5262237762237763,0.9012352144071475,0.012389380530973451,3.6146953405017923,1.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1108,1.1580294305822136,2.989041095890411,0.9837175038636765,-0.006802721088435374,3.9351351351351354,1.217,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1141,0.6345378798170538,1.0096153846153846,0.46862614204502,0.0353409656545545,2.156862745098039,0.798,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1194,0.809102694693953,1.8318695106649936,0.6209484281592791,-0.03743961352657005,2.6274738067520373,0.758,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1327,0.666239296671093,2.166917293233083,0.49521529881449433,-0.17237087741132545,2.2356687898089174,0.421,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1329,0.8068809148264984,2.158711217183771,0.6188860612186149,-0.09307359307359307,2.620792079207921,0.714,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1373,0.5754394032291028,1.3826666666666667,0.42018661540424457,-0.08312958435207823,2.0169300225733635,0.638,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1400,0.4487582521219742,1.3461875547765119,0.32059605533564955,-0.14723467862481315,1.7439739413680782,0.503,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1434,0.632295719844358,1.7986577181208054,0.46674222687668654,-0.13077297034516286,2.1513327601031813,0.698,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1443,0.8547241349254773,2.190909090909091,0.6633976950482684,-0.07117008443908324,2.766891891891892,0.813,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1493,1.0312920592193808,2.669479606188467,0.8407367243339521,-0.039837947332883185,3.3883116883116884,0.904,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1494,0.7696563394949232,2.202445652173913,0.5851792255048895,-0.12066905615292713,2.5127931769722816,0.69,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1529,0.3245282275538746,1.3449101796407184,0.22772689061406262,-0.21743205248359887,1.5073133179368745,0.08,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1532,1.085707202740467,2.5580774365821095,0.90029237516523,0.007397444519166106,3.611111111111111,1.232,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1542,0.7798376860648487,2.102088167053364,0.5943102254759061,-0.09926854754440961,2.541825095057034,0.869,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1552,0.5568565005620083,1.8175438596491227,0.40520111156176725,-0.17590361445783131,1.9745901639344263,0.661,"{""type"":""MultiPoint"",""coordinates"":[]}"
