system:index,B4,EVI2,NDGI,NDVI,RDVI,estimatefAPAR,.geo
0_9,2339.0,0.27822472512738006,-0.23105263157894737,0.17553753965456467,13.22253339931295,0.091,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21,2405.0,0.1853843541265708,-0.240010311936066,0.11985361390667887,8.860254912183658,0.002,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_67,2003.0,0.33831818412633935,-0.2239535594256034,0.21017350157728706,14.968131235441115,0.088,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_82,2013.0,0.3021371143818551,-0.22557077625570776,0.18945037245822427,13.351883780320627,0.084,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_84,2420.0,0.2293046357615894,-0.2545360290305858,0.14653500264503616,11.034971100914811,0.047,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_93,1747.0,0.24347442948737424,-0.25188104621999285,0.15501813784764207,9.9682810133111,0.003,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_154,2144.0,0.3398478240257894,-0.2290054456864431,0.21103955841766328,15.558353817324626,0.122,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_158,2152.0,0.24803663310273516,-0.23359128690169104,0.15772994129158513,11.275208764409534,0.042,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_177,2394.0,0.24338589138003686,-0.2378490175801448,0.15495940698905752,11.664234194167765,0.042,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_190,2467.0,0.26460807094587396,-0.2102035810645082,0.16753838366796017,12.898279535747568,0.081,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_228,2393.0,0.20503824372193766,-0.25848014725216933,0.13187012515871577,9.791301291982919,0.02,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_244,2620.0,0.2175138348022136,-0.25901009130225855,0.13943176219412054,10.880145500075278,0.032,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_284,2355.0,0.24853801169590642,-0.21548387096774194,0.15802645691812656,11.819280346773398,0.043,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_291,2541.0,0.2731846109438786,-0.2328966521106259,0.17258222077499186,13.525426204800032,0.078,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_311,2268.0,0.259696497873626,-0.22099596231493943,0.16464088397790055,12.132145328681283,0.032,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_325,1983.0,0.36693997368154674,-0.22407407407407406,0.22629730784237223,16.202002255806278,0.148,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_344,1841.0,0.36695559735056016,-0.22325581395348837,0.22630804790922462,15.611975134435582,0.145,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_346,2587.0,0.18402872849049054,-0.250362493958434,0.11901924059254214,9.121099120949568,0.009,"{""type"":""MultiPoint"",""coordinates"":[]}"
