system:index,B8,EVI,GVI,RDVI,SGI,estimatefAPAR,.geo
0_437,1620.0,7.275510204081632,4.294117647058823,33.481189900860876,8.350515463917526,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_448,1422.0,6.229338842975206,3.771812080536913,29.798222529776268,6.583333333333333,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_458,1502.0,8.18976279650437,4.023411371237458,31.895811474206276,7.905263157894737,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_475,1673.0,10.500747384155456,3.2569974554707377,31.89066361106081,6.242537313432836,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_479,1429.0,6.423432682425489,4.312267657992565,31.172166753363527,7.983240223463687,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_495,1464.0,6.8998923573735205,4.247311827956989,31.598983326463205,8.043956043956044,0.386,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_534,1578.0,8.538268506900877,3.767371601208459,32.12372495112259,7.271889400921659,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_535,1468.0,7.189944134078212,4.224199288256227,31.69335528073478,8.11049723756906,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_536,1457.0,8.221343873517787,3.684887459807074,30.57574775112158,6.971291866028708,0.365,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_562,1482.0,9.485294117647058,3.8431372549019605,31.529129729590956,7.71875,0.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_589,1984.0,7.951564076690212,2.779047619047619,32.22371631231551,4.862745098039215,0.371,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_596,1577.0,9.684873949579831,3.9591194968553456,32.86343076847953,8.128865979381443,0.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_634,1550.0,6.17455896007428,3.983922829581994,31.612948788011636,7.045454545454546,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_636,1458.0,7.758830694275273,4.080139372822299,31.440022748889188,7.923913043478261,0.382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_669,1304.0,7.593333333333333,4.09375,29.717537963762034,7.903030303030303,0.373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_687,1557.0,8.53125,4.055194805194805,32.63906781536381,8.109375,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_702,1435.0,6.187192118226601,4.3745318352059925,31.263519999765105,8.016759776536313,0.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_749,1355.0,8.557971014492754,3.945255474452555,30.202726846430682,7.787356321839081,0.336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_765,1561.0,9.278975741239892,4.101307189542483,32.963720615107015,8.483695652173912,0.402,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_781,1445.0,5.669362084456424,4.452830188679245,31.27750877679607,7.896174863387978,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_816,1605.0,8.751568381430364,3.878419452887538,32.74431374520816,7.642857142857143,0.403,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_821,1367.0,5.70275403608737,4.579591836734694,30.674107126539756,8.234939759036145,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_824,1694.0,7.958740499457112,3.881844380403458,33.439307781273506,7.4298245614035086,0.398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_847,1457.0,10.079744816586922,3.745928338762215,31.117528919575314,7.549222797927461,0.377,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_850,1444.0,7.3166472642607685,4.066666666666666,31.124923821496015,7.721925133689839,0.372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_890,1644.0,8.156108597285067,4.105590062111801,33.56212202274397,8.138613861386139,0.394,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_894,1540.0,7.293926247288503,4.133333333333334,32.29033456085386,7.897435897435898,0.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_916,1571.0,6.543909348441926,4.473867595818815,33.07508542130199,8.491891891891893,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_924,1582.0,9.35723951285521,3.9283489096573208,32.771039720416304,7.949748743718593,0.396,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_948,1523.0,4.9689922480620154,3.912903225806452,30.523809523809526,6.319502074688796,0.371,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_962,1397.0,8.48804500703235,3.8006872852233675,30.29833803964688,7.352631578947369,0.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_964,1650.0,6.3214904679376085,4.574324324324325,34.003873952544794,8.638743455497382,0.395,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_976,1489.0,3.4490876986462626,3.392330383480826,27.578379192631683,4.697160883280757,0.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_995,1442.0,5.135363790186124,3.871621621621622,29.707113202906463,6.324561403508772,0.342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_999,1590.0,7.556512378902045,4.317725752508361,33.315445650912714,8.548387096774194,0.394,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1000,1473.0,9.534711964549484,3.9595959595959593,31.7341772548509,8.093406593406593,0.385,"{""type"":""MultiPoint"",""coordinates"":[]}"
