system:index,B4,B8,NDGI,RDVI,SGI,estimatefCOVER,.geo
0_1164,791.0,2171.0,6.317119393556538E-4,25.356339577824624,2.7446270543615676,0.242,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1215,495.0,1970.0,0.11210762331838565,29.708693860084306,3.9797979797979797,0.316,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1240,669.0,2234.0,0.057746478873239436,29.04630035974215,3.3393124065769806,0.283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1253,600.0,2061.0,0.08814589665653495,28.32225174011089,3.435,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1438,456.0,2006.0,0.15555555555555556,31.238320319391843,4.399122807017544,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1444,377.0,1849.0,0.0691358024691358,31.199327290188286,4.904509283819628,0.255,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1469,870.0,2594.0,0.015280135823429542,29.291952405918206,2.981609195402299,0.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1480,600.0,2065.0,0.1031390134529148,28.378472669779434,3.441666666666667,0.316,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1486,868.0,2435.0,-0.014611338398597311,27.265578059097898,2.805299539170507,0.246,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1503,207.0,1007.0,0.0,22.96046311721166,4.8647342995169085,0.203,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1664,382.0,1887.0,0.05562422744128554,31.595064914131168,4.939790575916231,0.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1695,564.0,2236.0,-0.044444444444444446,31.597829943571398,3.9645390070921986,0.331,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1712,890.0,2657.0,-0.0033821871476888386,29.66920813696391,2.9853932584269662,0.289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1722,687.0,2333.0,0.007942238267148015,29.952036713907425,3.395924308588064,0.276,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1727,433.0,1955.0,0.15347018572825025,31.14565662011571,4.515011547344111,0.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1808,224.0,1134.0,0.13846153846153847,24.6940036128812,5.0625,0.222,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1831,690.0,1900.0,-0.005098324836125273,23.775819129728742,2.753623188405797,0.232,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1912,556.0,1993.0,0.08927108927108927,28.462421799420248,3.5845323741007196,0.298,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1927,333.0,1355.0,0.059322033898305086,24.875090797424132,4.069069069069069,0.232,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1931,452.0,1937.0,0.15196998123827393,30.382141270200346,4.285398230088496,0.313,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1951,835.0,2682.0,0.03690888119953864,31.14445326230141,3.2119760479041917,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2004,611.0,2331.0,0.05491105955143078,31.710793732687232,3.8150572831423895,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2008,650.0,2104.0,0.06542056074766354,27.70654919968976,3.236923076923077,0.275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2038,345.0,1154.0,0.011461318051575931,20.895256427255774,3.344927536231884,0.237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2071,679.0,2181.0,0.06085753803596127,28.085807579854052,3.212076583210604,0.287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2103,695.0,2392.0,0.027972027972027972,30.543129080793268,3.441726618705036,0.277,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2177,276.0,1362.0,0.07692307692307693,26.833225263131865,4.934782608695652,0.295,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2182,671.0,2376.0,0.04551920341394026,30.887883900344406,3.540983606557377,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2193,592.0,1983.0,-0.07441016333938294,27.411860518530634,3.3496621621621623,0.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2199,759.0,2269.0,0.028169014084507043,27.440941747976726,2.989459815546772,0.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2288,601.0,1811.0,-0.029991431019708654,24.637504611854887,3.0133111480865225,0.188,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2321,510.0,1920.0,-0.027190332326283987,28.603289114158674,3.764705882352941,0.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2328,217.0,1007.0,0.09205020920502092,22.580647043763665,4.640552995391705,0.297,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2377,747.0,2380.0,-0.01288135593220339,29.202648705168947,3.1860776439089693,0.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2462,444.0,1916.0,0.12166172106824925,30.300640481008354,4.315315315315315,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2479,484.0,2063.0,0.12,31.28726909935298,4.262396694214876,0.331,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2489,579.0,2215.0,0.11196319018404909,30.950673111745896,3.825561312607945,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2492,448.0,1844.0,0.11022840119165839,29.159368321476105,4.116071428571429,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2501,480.0,2081.0,-0.011591148577449948,31.636362463314132,4.335416666666666,0.314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2524,418.0,1959.0,0.07419712070874862,31.607347255105704,4.686602870813397,0.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2542,540.0,2165.0,0.07771135781383433,31.24422312593271,4.0092592592592595,0.323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2557,698.0,2347.0,-0.046476761619190406,29.883193512668612,3.3624641833810887,0.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2580,624.0,2248.0,0.03180760279286268,30.30357085700028,3.6025641025641026,0.324,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2609,695.0,2066.0,0.07085561497326204,26.09181265132972,2.972661870503597,0.281,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2638,705.0,2232.0,-0.008583690987124463,28.176501195355122,3.1659574468085108,0.231,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2654,520.0,1561.0,-0.07216494845360824,22.819950046714624,3.001923076923077,0.218,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2676,699.0,2334.0,0.07478491065519524,29.68804173330496,3.3390557939914163,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2689,462.0,1482.0,-0.028953229398663696,23.13406979295224,3.207792207792208,0.178,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2692,781.0,2418.0,-0.0070921985815602835,28.942867696498737,3.0960307298335468,0.259,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2731,538.0,2051.0,0.10631229235880399,29.735339598060314,3.812267657992565,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2816,323.0,1155.0,-0.0642504118616145,21.64143772472068,3.5758513931888545,0.086,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2851,509.0,1727.0,-0.00992063492063492,25.757955507262846,3.392927308447937,0.22,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2852,465.0,1981.0,0.12921348314606743,30.65285811385022,4.2602150537634405,0.317,"{""type"":""MultiPoint"",""coordinates"":[]}"
