system:index,cart_estimatefAPAR,estimatefAPAR,rf_estimatefAPAR,.geo
1634,322.0,331,326.70814285714283,"{""type"":""MultiPoint"",""coordinates"":[]}"
1635,0.0,0,1.3623295736964922,"{""type"":""MultiPoint"",""coordinates"":[]}"
1636,442.0,455,473.68766666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1637,642.6666666666666,666,660.753876984127,"{""type"":""MultiPoint"",""coordinates"":[]}"
1638,689.3333333333334,726,689.437,"{""type"":""MultiPoint"",""coordinates"":[]}"
1639,489.5,479,502.8145476190475,"{""type"":""MultiPoint"",""coordinates"":[]}"
1640,418.0,440,438.8965367965369,"{""type"":""MultiPoint"",""coordinates"":[]}"
1641,741.3333333333334,748,749.2849999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1642,455.6666666666667,475,444.36992857142866,"{""type"":""MultiPoint"",""coordinates"":[]}"
1643,665.0,709,676.2711666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1644,620.5,637,631.8854761904763,"{""type"":""MultiPoint"",""coordinates"":[]}"
1645,526.0,489,500.9693333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1646,547.5,517,525.77025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1647,418.0,455,430.1556921411924,"{""type"":""MultiPoint"",""coordinates"":[]}"
1648,464.0,445,458.815357142857,"{""type"":""MultiPoint"",""coordinates"":[]}"
1649,760.6666666666666,761,760.8261666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1650,575.6666666666666,592,572.9751666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1651,469.5,469,481.20545418470414,"{""type"":""MultiPoint"",""coordinates"":[]}"
1652,441.6666666666667,426,434.77887301587293,"{""type"":""MultiPoint"",""coordinates"":[]}"
1653,545.0,528,516.3916904761903,"{""type"":""MultiPoint"",""coordinates"":[]}"
1654,659.0,685,661.4060912698412,"{""type"":""MultiPoint"",""coordinates"":[]}"
1655,771.6666666666666,773,769.2239999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1656,642.0,681,642.3473784271284,"{""type"":""MultiPoint"",""coordinates"":[]}"
1657,451.0,450,449.08961778499264,"{""type"":""MultiPoint"",""coordinates"":[]}"
1658,433.0,421,429.039944971695,"{""type"":""MultiPoint"",""coordinates"":[]}"
1660,538.0,532,550.9837692307692,"{""type"":""MultiPoint"",""coordinates"":[]}"
1661,404.5,361,395.4112777777778,"{""type"":""MultiPoint"",""coordinates"":[]}"
1662,482.5,470,485.53433100233093,"{""type"":""MultiPoint"",""coordinates"":[]}"
1663,405.5,408,403.1475795848887,"{""type"":""MultiPoint"",""coordinates"":[]}"
1664,425.5,388,408.04086525974014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1665,460.0,434,458.46961457256197,"{""type"":""MultiPoint"",""coordinates"":[]}"
1666,481.6666666666667,468,458.8733406242879,"{""type"":""MultiPoint"",""coordinates"":[]}"
1667,625.0,627,631.8295833333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1668,512.5,502,504.15986111111107,"{""type"":""MultiPoint"",""coordinates"":[]}"
1669,419.0,398,402.6301873543122,"{""type"":""MultiPoint"",""coordinates"":[]}"
1670,437.5,415,433.06933333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
1671,589.0,586,588.7138712121214,"{""type"":""MultiPoint"",""coordinates"":[]}"
1672,665.0,700,665.9706666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1673,665.0,657,665.6716666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1674,517.0,549,521.2576904761906,"{""type"":""MultiPoint"",""coordinates"":[]}"
1675,602.5,615,618.880726190476,"{""type"":""MultiPoint"",""coordinates"":[]}"
1676,441.5,452,455.9813504273503,"{""type"":""MultiPoint"",""coordinates"":[]}"
1677,435.0,420,427.7272738095238,"{""type"":""MultiPoint"",""coordinates"":[]}"
1678,547.5,539,536.4732976190476,"{""type"":""MultiPoint"",""coordinates"":[]}"
1679,336.5,322,244.8741759237213,"{""type"":""MultiPoint"",""coordinates"":[]}"
1680,468.0,472,464.69305901700636,"{""type"":""MultiPoint"",""coordinates"":[]}"
1681,483.5,460,465.8950979020979,"{""type"":""MultiPoint"",""coordinates"":[]}"
1682,613.0,665,640.4811666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1683,451.0,477,466.5088095238095,"{""type"":""MultiPoint"",""coordinates"":[]}"
1684,567.5,541,566.7551666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1685,491.0,490,495.94699999999983,"{""type"":""MultiPoint"",""coordinates"":[]}"
1686,567.5,579,566.2301666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1687,532.3333333333334,522,503.32566666666656,"{""type"":""MultiPoint"",""coordinates"":[]}"
1688,517.0,505,513.0178095238094,"{""type"":""MultiPoint"",""coordinates"":[]}"
1689,404.5,401,411.0136277472526,"{""type"":""MultiPoint"",""coordinates"":[]}"
1690,398.6666666666667,369,396.5273939393938,"{""type"":""MultiPoint"",""coordinates"":[]}"
1691,491.0,500,505.7181666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1692,471.0,446,454.3223259722731,"{""type"":""MultiPoint"",""coordinates"":[]}"
1693,675.3333333333334,687,670.334880952381,"{""type"":""MultiPoint"",""coordinates"":[]}"
1694,687.0,711,685.7451666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
