system:index,B8,GVI,NDGI,RDVI,SGI,estimatefAPAR,.geo
0_6,1526.0,4.578767123287672,0.1894093686354379,33.44628928533664,8.185929648241206,0.381,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26,1753.0,3.266009852216749,0.1958762886597938,32.58352780607522,6.344322344322344,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28,1523.0,4.282392026578073,0.2515592515592516,33.514479542177746,8.833333333333334,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_50,1471.0,3.884244372990354,0.15613382899628253,30.920064697803923,6.691629955947136,0.352,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_52,1386.0,4.622137404580153,0.18284424379232506,31.768357478476762,8.138121546961326,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_68,1471.0,4.4,0.23203285420944558,33.71064903452204,8.663101604278076,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_70,1648.0,3.9235474006116204,0.23629489603024575,33.07680539573975,7.97029702970297,0.365,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_87,1625.0,3.824657534246575,0.20065789473684212,33.909619217105664,7.246913580246914,0.386,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_93,1357.0,3.286604361370716,0.14031971580817051,28.191864276277727,5.68595041322314,0.353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96,1797.0,3.275555555555556,0.10565110565110565,32.61343839027654,5.285714285714286,0.343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_106,1505.0,4.985185185185185,0.12734864300626306,32.93537882099114,7.732057416267943,0.385,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_116,1551.0,4.248322147651007,0.24425887265135698,33.10735338467175,8.640883977900552,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_120,1424.0,4.332191780821918,0.1845841784989858,32.34076243188722,7.746268656716418,0.364,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_124,1495.0,4.356401384083045,0.21940928270042195,32.74134940349412,8.367567567567567,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_141,1552.0,3.735384615384615,0.1882998171846435,31.383841153045484,6.9324324324324325,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_146,1483.0,4.243636363636363,0.26146788990825687,31.99501871709757,8.956521739130435,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_148,1819.0,3.8766756032171585,0.12180451127819548,33.23494163277506,6.22945205479452,0.373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_166,2115.0,2.653781512605042,0.03119584055459272,30.892475492881793,3.889087656529517,0.271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_167,1574.0,4.478547854785479,0.2572614107883817,34.53537641368342,9.273743016759777,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_171,1479.0,4.669090909090909,0.1652542372881356,32.50235666941798,7.913705583756345,0.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_172,1532.0,4.417543859649123,0.2582781456953642,33.255735223170824,9.19047619047619,0.399,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_195,1626.0,4.256965944272446,0.23754789272030652,34.41660024125827,8.532663316582914,0.398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_200,1430.0,4.324503311258278,0.19603960396039605,33.01544072610631,7.921182266009852,0.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_202,1608.0,4.385665529010239,0.2157676348547718,33.04334242744806,8.34920634920635,0.393,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_225,1534.0,4.71830985915493,0.221505376344086,33.964695700338915,8.972375690607734,0.391,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_228,1524.0,4.483221476510067,0.23651452282157676,34.007214661964106,8.880434782608695,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_233,1693.0,4.204142011834319,0.21364452423698385,34.62641878182316,8.031963470319635,0.402,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_244,1329.0,4.872,0.16009280742459397,31.69335528073478,8.11049723756906,0.366,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_255,1356.0,4.098245614035088,0.18997912317327767,31.02265267106024,7.489690721649485,0.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_259,1446.0,4.370106761565836,0.19829424307036247,32.06726320526192,8.02659574468085,0.364,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_263,1420.0,4.2983050847457624,0.1991869918699187,32.56074742273698,7.934010152284264,0.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_271,1574.0,4.531147540983606,0.21756487025948104,34.35994685612,8.607142857142858,0.395,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_280,1430.0,4.1453900709219855,0.19745222929936307,31.16286877429455,7.677248677248677,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_288,1483.0,4.316151202749141,0.17338709677419356,32.06162018027902,7.546341463414634,0.367,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_331,1637.0,4.314935064935065,0.19611650485436893,33.3008699475325,7.908212560386473,0.403,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_332,1561.0,4.631768953068592,0.20434782608695654,32.98262725309115,8.524590163934427,0.395,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_340,1526.0,4.7894736842105265,0.22863741339491916,33.23179320578321,9.221556886227544,0.4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_382,1446.0,4.305841924398625,0.2462526766595289,32.98540903645619,8.772727272727273,0.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_384,1665.0,4.386363636363637,0.2571428571428571,34.42338713359058,9.115384615384615,0.4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_405,1843.0,3.112554112554113,0.14215080346106304,32.76196330243888,5.475504322766571,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_408,1447.0,4.302816901408451,0.18333333333333332,31.753493844423634,7.683673469387755,0.369,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_418,1421.0,4.144827586206897,0.21338912133891214,31.814342378122184,7.9361702127659575,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_437,1620.0,4.1797385620915035,0.224,32.979127062583174,8.170103092783505,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_448,1422.0,4.5369127516778525,0.15953307392996108,33.19657906677033,7.638888888888889,0.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_458,1502.0,4.1806020066889635,0.2229038854805726,32.588897307473886,8.152631578947368,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_475,1673.0,3.458015267175573,0.18910741301059,33.01856663415687,6.537313432835821,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
