system:index,B8,GVI,NDGI,NLI,RDVI,estimatefAPAR,.geo
0_18,1313.0,1.0940988835725678,-0.003971405877680699,0.9992670768485,15.441422607184744,0.108,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22,2497.0,1.4895314057826519,0.021384928716904276,0.9996917881259852,26.120333715895132,0.248,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36,2193.0,2.2297496318114876,0.0609375,0.9997500961568448,30.118258920476446,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_39,2143.0,1.9517906336088156,0.09750566893424037,0.9997400417936159,29.53481182416863,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_62,1621.0,0.7299893276414087,0.0032119914346895075,0.999291630588776,13.658680797519452,0.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_86,2038.0,2.5198618307426597,0.09348441926345609,0.9997688932200012,31.048426138647564,0.347,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_95,2199.0,1.3594420600858368,0.022490400438837082,0.999631551132515,23.530356348829752,0.265,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_102,2019.0,2.06838905775076,0.1143099068585944,0.9997434315030793,29.67179504054992,0.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_133,2244.0,1.5882352941176472,-0.024198086662915026,0.9996386340685476,23.753356402688684,0.238,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_139,1770.0,0.873015873015873,-0.013569937369519834,0.9993803191005628,15.2613257206188,0.174,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_175,1861.0,1.9307086614173228,0.12389380530973451,0.9997141880515593,28.14252472314574,0.322,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_182,2507.0,1.9355971896955504,0.041463414634146344,0.999749913893699,29.990589677047733,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_194,2805.0,1.210401891252955,0.03676470588235294,0.9997003508868242,25.760890783820027,0.271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_212,1807.0,0.7838104639684107,-0.014591439688715954,0.9993613553227941,14.311031200968285,0.097,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_233,1868.0,1.5554035567715458,0.004810996563573883,0.9995851178803878,22.470282157705842,0.202,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_249,2203.0,1.3068062827225129,-0.008307372793354102,0.9995999324293702,21.867908428325183,0.237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_251,1974.0,2.118483412322275,0.11150131694468832,0.999740325188816,29.47814937072171,0.346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_262,1930.0,2.0298273155416013,0.1195079086115993,0.9997310356656908,28.982760588897538,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_265,1639.0,2.2455445544554458,0.1425339366515837,0.9997178695053411,28.048520892935993,0.325,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_266,1426.0,1.3338788870703766,-0.012126111560226353,0.9993844949761614,17.66043142753392,0.143,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_273,2205.0,2.177233429394813,0.010924981791697014,0.9997207315106986,28.41560490191521,0.283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_283,2127.0,1.6856060606060606,0.11549295774647887,0.9997224160325073,28.55885761821278,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_322,2340.0,1.4973319103521878,0.0665907797381901,0.9997005342906498,27.039586544663162,0.334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_342,2839.0,1.3757322175732218,0.010998307952622674,0.9997099647814377,26.378652985574025,0.255,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_349,2268.0,1.5060773480662983,0.004997223764575236,0.9996516817241755,24.391352014542882,0.259,"{""type"":""MultiPoint"",""coordinates"":[]}"
