system:index,GVI,MSR,NDGI,RDVI,SGI,estimateLAI,.geo
0_6,4.226027397260274,1.7691770814707233,0.1894093686354379,31.950405408963146,7.668341708542713,1.673,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26,3.317733990147783,1.5340176442253557,0.1958762886597938,32.88077118201739,6.4212454212454215,1.759,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36,4.461176470588235,1.7631265662384399,0.16598079561042525,39.36780894274383,7.634868421052632,1.608,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_44,4.5111940298507465,1.8255590214652717,0.18322295805739514,31.69180710823856,7.9837837837837835,1.736,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_50,3.729903536977492,1.5456190232345735,0.15613382899628253,30.189195330833243,6.4801762114537445,1.668,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_52,4.290076335877862,1.76721133337082,0.18284424379232506,30.440553762006164,7.657458563535911,1.7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_70,4.039755351681957,1.8562940747731418,0.23629489603024575,33.618817124712535,8.158415841584159,1.509,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_87,3.4520547945205475,1.5859703784757297,0.20065789473684212,31.975666604747854,6.68724279835391,1.703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96,2.993333333333333,1.2218940539128293,0.10565110565110565,30.826115901360176,4.936813186813187,1.307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_102,4.434173669467787,1.9169799330514021,0.2205128205128205,36.76834833269494,8.508771929824562,1.715,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_106,4.574074074074074,1.683459881906015,0.12734864300626306,31.303982545684768,7.2009569377990434,1.769,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_120,3.8767123287671232,1.6616868926355444,0.1845841784989858,30.33889608052039,7.08457711442786,1.691,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_124,4.173010380622838,1.842724235848613,0.21940928270042195,31.960727389064463,8.08108108108108,1.766,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_141,3.775384615384615,1.6440482202469362,0.1882998171846435,31.577288371936948,6.990990990990991,1.703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_147,4.311428571428571,1.9068883707497266,0.22807017543859648,35.94609426796872,8.45,1.703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_148,3.8766756032171585,1.4958870276505947,0.12180451127819548,33.23494163277506,6.22945205479452,1.457,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_166,2.5546218487394956,0.9451329104603605,0.03119584055459272,30.090464450721505,3.783542039355993,0.898,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_195,4.03405572755418,1.858470617543022,0.23754789272030652,33.403543409775665,8.170854271356784,1.759,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_200,3.735099337748345,1.654116609226026,0.19603960396039605,30.363474770231324,7.044334975369458,1.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_225,4.401408450704225,1.9112090480669646,0.221505376344086,32.67124876136237,8.475138121546962,1.777,"{""type"":""MultiPoint"",""coordinates"":[]}"
