system:index,EVI2,GVI,MSR,RDVI,SGI,estimateLAI,.geo
0_6,1.0337094400448523,2.757303370786517,0.843467923165423,25.366081243148518,3.3983739837398375,1.365,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_57,1.0615115025161754,2.9625187406296853,0.8734887668098118,32.43231603932892,3.50996015936255,1.377,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_67,1.2854186564788284,3.1129568106312293,1.1452809800283448,24.961297181850618,4.602230483271375,1.274,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96,1.1734874395565515,2.4320388349514563,1.0023615547251226,30.92574185745529,4.00945179584121,1.012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_100,0.7267278648026501,1.3603185136031852,0.5471503784070618,29.16322945101744,2.3936742934051143,0.925,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_105,0.7916416751931693,1.4128289473684212,0.6049747070779542,28.12595307603033,2.575943810359965,1.003,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_170,0.7260782309061307,1.3641255605381164,0.5466138881622203,25.0902917367027,2.392014519056261,0.811,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_200,1.246103390050656,2.978,1.0930975296728211,31.056080682529846,4.381057268722467,1.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_239,1.0936184148966033,2.773060029282577,0.9091827528009583,32.63172499651953,3.644978783592645,1.361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_242,1.0698908766980924,2.7090069284064664,0.8828844529430523,25.409793402880638,3.5452538631346577,1.401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_243,0.9440312129232453,1.798405466970387,0.7503116929404005,28.990507487693034,3.0635910224438905,1.197,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_293,0.9264445066741344,1.7978848413631021,0.7327787129624598,28.18688196767889,3.0025220680958387,1.108,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_335,1.2888867149285854,2.9910979228486645,1.149882119360912,26.05847289807964,4.621993127147766,1.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_353,1.273979133946601,3.0120481927710845,1.1295585118171603,34.06542346091088,4.535019455252918,1.098,"{""type"":""MultiPoint"",""coordinates"":[]}"
