system:index,EVI2,GVI,NDGI,RDVI,SGI,estimateLAI,.geo
0_9,0.27822472512738006,1.2826830937713893,-0.23105263157894737,13.22253339931295,1.4258230012825994,0.26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33,0.4090863529293841,1.508825786646201,-0.20208205756276792,18.055491256844657,1.6653082017320429,0.373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_67,0.33831818412633935,1.416535433070866,-0.2239535594256034,14.968131235441115,1.5322016974538193,0.24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_82,0.3021371143818551,1.3223270440251573,-0.22557077625570776,13.351883780320627,1.4674615002483855,0.137,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_84,0.2293046357615894,1.2607788595271212,-0.2545360290305858,11.034971100914811,1.3433884297520662,0.101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_111,0.23826764256918082,1.3052434456928839,-0.2585049757000694,12.163601963486741,1.358219933799191,0.183,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_154,0.3398478240257894,1.4468401486988847,-0.2290054456864431,15.558353817324626,1.5349813432835822,0.348,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_158,0.24803663310273516,1.2124158563949141,-0.23359128690169104,11.275208764409534,1.3745353159851301,0.08,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_177,0.24338589138003686,1.2198100407055632,-0.2378490175801448,11.664234194167765,1.366750208855472,0.034,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_190,0.26460807094587396,1.1490683229813663,-0.2102035810645082,12.898279535747568,1.4025131738954195,0.193,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_228,0.20503824372193766,1.2127659574468086,-0.25848014725216933,9.791301291982919,1.303802758044296,0.019,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_244,0.2175138348022136,1.2496757457846952,-0.25901009130225855,10.880145500075278,1.3240458015267176,0.052,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_270,0.36969322184281994,1.4679433805162363,-0.2163132137030995,15.831025718843605,1.590128755364807,0.449,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_284,0.24853801169590642,1.130921052631579,-0.21548387096774194,11.819280346773398,1.3753715498938428,0.062,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_291,0.2731846109438786,1.2776723592662873,-0.2328966521106259,13.525426204800032,1.4171585989767808,0.227,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_311,0.259696497873626,1.1852107809260537,-0.22099596231493943,12.132145328681283,1.3941798941798942,0.053,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_325,0.36693997368154674,1.5003977724741446,-0.22407407407407406,16.202002255806278,1.5849722642460917,0.454,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_338,0.40909652700531457,1.3587188612099643,-0.1723122238586156,18.17967970421407,1.6653266331658292,0.482,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_344,0.36695559735056016,1.4961505560307957,-0.22325581395348837,15.611975134435582,1.5850081477457902,0.42,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_386,0.3095719878590595,1.2732634338138924,-0.21116567588524165,14.769833097155336,1.4805804524114383,0.308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_388,0.21492295214922952,1.156338028169014,-0.24064171122994651,10.114212142021197,1.3198275862068964,0.017,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_399,0.23732008224811516,1.1591530054644807,-0.2282551396942541,11.214380873319813,1.3566523605150214,0.063,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_421,0.22876159835874485,1.3170180722891565,-0.2662983425414365,10.713292311307178,1.3424956369982548,0.079,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_423,0.45789843436370936,1.5335335335335336,-0.17946611909650925,17.385333213380097,1.7625348189415042,0.345,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_427,0.34378599468747795,1.5346534653465347,-0.24344569288389514,15.796394093295815,1.5421686746987953,0.326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_548,0.24754820675605252,1.3070570570570572,-0.2535724292518913,11.472525109657148,1.3737147966025927,0.132,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_550,0.25710897772102254,1.248951048951049,-0.2361111111111111,12.129529969768928,1.3898012100259292,0.09,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_579,0.2642816707278053,1.2045621780721119,-0.2225400457665904,11.989678332574444,1.4019653720168461,0.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_597,0.25090112375432894,1.178621659634318,-0.22464558342420937,11.654841455005613,1.379341050756901,0.121,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_602,0.32775092081031304,1.4429090909090907,-0.23504867872044508,15.249146732554593,1.513063063063063,0.457,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_609,0.25484171528717525,1.2000000000000002,-0.22700334965215152,12.192790641878654,1.3859722805543888,0.134,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_631,0.3219450514375506,1.2790697674418605,-0.20531331215708923,14.514947698217295,1.5026353617632966,0.205,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_665,0.27356035137186857,1.2277163305139882,-0.222165991902834,13.204499017914118,1.4178053830227744,0.187,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_705,0.28550529718505935,1.4006046863189718,-0.2506372132540357,13.192370256577362,1.4384057971014492,0.212,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_733,0.23713101018347438,1.3275623268698062,-0.2636409994900561,11.555572480493723,1.3563357546408394,0.131,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_743,0.3920550434895495,1.555737704918033,-0.22044728434504793,17.036065445260853,1.6324607329842933,0.436,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_751,0.3565562016009178,1.3861308116627264,-0.20761785825788323,15.530625307778974,1.5656670113753879,0.228,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_755,0.30097908860147465,1.0699669966996699,-0.17099863201094392,13.71219387274112,1.4654205607476636,0.136,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_793,0.2766018232345532,1.3903252710592162,-0.2536570183629007,12.196344520885395,1.423038728897716,0.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_799,0.27620121758956073,1.4291369754552652,-0.2614035087719298,12.60303753163988,1.4223458507185907,0.252,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_836,0.21629084215370453,1.2681851579720793,-0.26352813852813856,10.212641431179513,1.3220556745182013,0.013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_873,0.4020911498565438,1.5343053173241854,-0.21082910321489,16.928801405653047,1.6517607602012296,0.283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_876,0.21765550767870953,1.251924422673198,-0.2593936252915263,10.485252019623285,1.3242798353909464,0.039,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_928,0.3042712360732996,1.2737850787132103,-0.2143049206776015,14.243756099204314,1.471213463241807,0.231,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_932,0.2437980728594371,1.2305194805194803,-0.23988153998025666,11.968858476488062,1.367436305732484,0.059,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_935,0.42169767321345286,1.3905547226386807,-0.1716858118596709,18.27469668714346,1.6899841017488075,0.4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_949,0.27283346312159307,1.2404298186702487,-0.22528616024973985,13.003932741173074,1.41656050955414,0.105,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_961,0.2826023422332631,1.3094777562862667,-0.23407407407407407,13.888039879767868,1.4333733493397358,0.207,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_970,0.30673829420347526,1.417860151642797,-0.24201787994891444,13.330412452652771,1.4755784061696657,0.355,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1002,0.24519161933851952,1.2373254959588538,-0.24051339285714285,11.325279643245993,1.369770580296896,0.006,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1008,0.3226294005487606,1.527078565980168,-0.25384177575412636,14.945513804688996,1.5038583749432592,0.348,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1017,0.41288140614199664,1.530038022813688,-0.20399515738498789,18.351164459519072,1.6726998491704375,0.502,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1018,0.35450700721452855,1.425170068027211,-0.21652231845436376,15.000897792713292,1.5618838992332968,0.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1037,0.2281407885512607,1.1954108068097704,-0.24143739472206627,10.493198032294483,1.341474445952058,0.082,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1050,0.28828096372297546,1.2850174216027876,-0.22578904774750472,13.515865361326359,1.4432218309859155,0.161,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1081,0.2265625,1.248301886792453,-0.2535211267605634,10.452079441076911,1.338876404494382,0.008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1082,0.2749632195909069,1.411855273287144,-0.2587731811697575,12.686732232999411,1.4202175883952857,0.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1107,0.292042220113852,1.271101573676681,-0.22073578595317725,13.447803896418666,1.4497716894977168,0.213,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1187,0.3361843380500097,1.4106606606606609,-0.22400233032333236,15.229791073569535,1.5283198476915754,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1202,0.23898204271228687,1.33363802559415,-0.26379542395693134,10.140348894095029,1.3594249201277955,0.069,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1236,0.21120933675913423,1.2484429065743945,-0.262378764675855,10.258592872201394,1.3137889203396684,0.083,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1371,0.4297102600773346,1.5650040883074405,-0.20117570215545394,18.40070685766545,1.7058183795541055,0.533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1382,0.2089282714597682,1.1781088082901556,-0.24884456336657748,10.3367906599056,1.3100895987534087,0.066,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1393,0.2141776277499709,1.0891632373113853,-0.22611464968152867,10.056747128573221,1.3186147186147186,0.008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1418,0.2864561433016567,1.302775984506133,-0.23050173869846002,14.020524805346607,1.440048445700444,0.242,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1504,0.2211602013320454,1.1477794793261866,-0.23513909224011714,9.92868342625318,1.330014224751067,0.023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1524,0.3121205019494216,1.301475304682489,-0.21559748427672956,15.125413974546252,1.4850993377483444,0.267,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1556,0.22345297317402021,1.3122648607975922,-0.26837324525185796,10.48712203004839,1.3337673611111112,0.064,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1596,0.25115602187639374,1.3278443113772456,-0.25571030640668524,11.68770873273831,1.3797692990239574,0.229,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1597,0.22781098454945303,1.2863309352517986,-0.26063829787234044,10.847836593529305,1.340928270042194,0.119,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1637,0.21766098377074186,1.1108108108108108,-0.22896587653034645,10.331236709240928,1.324289953370072,0.056,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1669,0.2925711288187246,1.384189723320158,-0.24342105263157895,13.127060799006179,1.4506974506974506,0.047,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1675,0.3529845157861681,1.3589001447178002,-0.20414627123524332,15.980745516002798,1.559062649450024,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1686,0.3949496560207755,1.469486823855756,-0.20243362831858408,18.315119218259976,1.637994480220791,0.488,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1696,0.275004369483527,1.1997414350355529,-0.21531828556936342,13.223697812064422,1.4202838063439065,0.164,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1740,0.39439440902976786,1.3361415332771691,-0.17598056230475528,16.144086224863216,1.6369539551357732,0.221,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1776,0.32598487767289547,1.268033946251768,-0.2006783493499152,14.832833281697523,1.5098870056497176,0.474,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1800,0.33361431720918167,1.5502555366269166,-0.2519910799617713,14.612291273491062,1.5236641221374045,0.342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1931,0.3605573991135452,1.4978038067349928,-0.22715700141442716,16.638536255621116,1.5730751498386353,0.551,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1975,0.22898114953162946,1.3097542814594192,-0.26471393375307967,10.76579950697533,1.3428571428571427,0.143,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1996,0.23451799877974377,1.3288732394366196,-0.26539058458354886,11.351570858674114,1.3520032706459526,0.129,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2011,0.36641065260861666,1.5652492668621703,-0.23649594178561434,17.074489509534754,1.583974649162517,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2048,0.252122581735237,1.1591760299625467,-0.2196785192401364,12.367188117837276,1.3813897763578276,0.073,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2053,0.3741162608012569,1.1545518701482003,-0.14818154493537722,16.22460352118676,1.5984293193717278,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2071,0.34025831607164614,1.455521472392638,-0.23045146060784893,15.362026781749872,1.5357314148681056,0.279,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2113,0.4421335597057159,1.4544084400904294,-0.17295107510127766,19.180653035439832,1.730605738575983,0.421,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2136,0.40570920075872896,1.4875267284390592,-0.19988594240091245,18.531134118357386,1.658745247148289,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2177,0.3257214906136173,1.4148003894839336,-0.23071161048689137,13.03523276482176,1.509433962264151,0.486,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2191,0.2862526270019567,1.2411552346570396,-0.2177351030782265,13.071200165411689,1.4397031539888683,0.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2228,0.23898676050898016,1.2894021739130435,-0.2548721842571501,11.650294221408112,1.3594191206131505,0.271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2260,0.2559449020429057,1.1672401927047487,-0.21923696937130574,11.955374140441927,1.387836051123843,0.015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2264,0.4525149586076883,1.4743589743589745,-0.17103952175357023,19.023930074549373,1.7515598411798072,0.358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2295,0.26229346106521356,1.2550471063257067,-0.2344152498712004,12.597453762904184,1.3985809682804675,0.11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2331,0.37143476846329027,1.4835443037974683,-0.2183377308707124,15.835901707228487,1.5933946940985382,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2339,0.32505329892280077,1.349274124679761,-0.21803005008347245,13.70516236349778,1.5082236842105263,0.26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2371,0.21301442442853744,1.0474999999999999,-0.2172211350293542,10.379208384544494,1.3167202572347267,0.017,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2440,0.29359806230834185,1.2529880478087652,-0.21603331598125977,13.964827523104022,1.4524828767123288,0.234,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2442,0.35049008977750795,1.4166666666666665,-0.21711899791231734,16.75269666029848,1.554459691252144,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2448,0.2868733525186815,1.3149253731343284,-0.23275121671915258,13.09121188945235,1.4407803065490015,0.114,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2450,0.23697671990813238,1.2779973649538867,-0.2536873156342183,11.71442258093815,1.356078431372549,0.144,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2479,0.30468922804689225,1.2303698896820245,-0.20485036119711042,14.505023384872684,1.471948608137045,0.192,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2487,0.31052753488910767,1.3336283185840707,-0.2231007218975593,12.911382743448748,1.4822934232715008,0.051,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2522,0.21622013383905497,1.083628632175762,-0.2236588720770289,9.963683085845643,1.3219424460431655,0.077,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2535,0.2507798298960975,1.1324590163934425,-0.2145248519186196,11.935925190802253,1.3791348600508906,0.045,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2590,0.31054365733113676,1.3065693430656933,-0.21754932502596053,14.823945351383134,1.4823027718550106,0.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2602,0.3891985393042475,1.2769126607989167,-0.1664785553047404,17.58753953688025,1.6269956458635704,0.411,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2657,0.23772554175355876,1.3382245047688923,-0.2654271085960658,11.277248442328075,1.3573253833049403,0.124,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2660,0.2529277633880144,1.3171929824561404,-0.25255704169944926,12.116859233322,1.382747068676717,0.184,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2702,0.2993497730339836,1.2876204595997036,-0.22000578201792426,13.539893441075858,1.462559241706161,0.147,"{""type"":""MultiPoint"",""coordinates"":[]}"
