system:index,B2,B8,NDGI,RDVI,SGI,estimatefCOVER,.geo
0_6,322.0,1672.0,-0.05016008537886873,25.366081243148518,3.3983739837398375,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_67,221.0,1238.0,0.056140350877192984,24.961297181850618,4.602230483271375,0.253,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96,434.0,2121.0,0.07759372275501308,30.92574185745529,4.00945179584121,0.296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_127,257.0,1716.0,0.01634877384196185,29.731789335037874,4.753462603878116,0.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_175,482.0,1728.0,0.10981818181818181,23.070460633592774,2.823529411764706,0.344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_188,219.0,1409.0,0.03985507246376811,27.960716597404694,5.316981132075472,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_228,286.0,1825.0,0.09439124487004104,32.17556777136991,5.513595166163142,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_242,315.0,1606.0,-0.022573363431151242,25.409793402880638,3.5452538631346577,0.294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_287,335.0,1766.0,0.15151515151515152,30.37793244022251,4.851648351648351,0.356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_291,230.0,1661.0,0.05073649754500818,31.039078558242448,5.727586206896552,0.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_293,678.0,2381.0,0.03527980535279805,28.18688196767889,3.0025220680958387,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_335,263.0,1345.0,0.0732484076433121,26.05847289807964,4.621993127147766,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_361,554.0,2191.0,-0.004864489228630994,27.194512749427815,3.0304287690179805,0.262,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_383,222.0,1472.0,0.0053475935828877,28.51001006489875,5.275985663082437,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_469,399.0,1918.0,9.372071227741331E-4,27.97551677741965,3.598499061913696,0.238,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_490,273.0,1337.0,-0.03281027104136947,23.654181576676663,3.6933701657458564,0.242,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_492,622.0,2377.0,0.020158827122785584,27.934139277057515,2.963840399002494,0.284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_500,432.0,2036.0,0.10314685314685315,30.165809603700097,3.9688109161793372,0.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_582,255.0,1511.0,0.041401273885350316,28.425379636963843,5.019933554817276,0.309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_595,382.0,2071.0,-0.04309586631486367,28.63566834389415,3.4924114671163573,0.292,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_646,326.0,1722.0,-0.01642935377875137,26.9063980187954,3.711206896551724,0.289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_650,354.0,1648.0,0.029927760577915376,25.59660181648071,3.5063829787234044,0.185,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_675,462.0,1677.0,0.0017064846416382253,22.96023549080243,2.8666666666666667,0.184,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_698,351.0,2020.0,0.04411764705882353,31.457683617613338,4.43956043956044,0.293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_730,657.0,2416.0,0.050061050061050064,28.98320719505018,3.1053984575835476,0.352,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_770,246.0,1341.0,0.004862236628849271,25.470761840546977,4.368078175895765,0.302,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_774,306.0,1891.0,0.0990990990990991,32.552302335274014,5.402857142857143,0.354,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_827,554.0,1639.0,0.09186906019007392,26.579454011392727,3.811627906976744,0.357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_833,334.0,1978.0,0.043478260869565216,31.277223047371134,4.495454545454545,0.266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_877,238.0,1445.0,0.02040816326530612,27.029874490435517,4.631410256410256,0.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_908,634.0,1868.0,-0.036668738346799255,19.891973244398972,2.239808153477218,0.164,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_919,451.0,2143.0,0.039316239316239315,30.39822569975361,3.8131672597864767,0.335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_928,252.0,1074.0,0.03237410071942446,21.96634873038868,3.992565055762082,0.254,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_945,243.0,1685.0,0.15773353751914243,31.848653577410108,6.127272727272727,0.312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1026,357.0,1834.0,-0.031093279839518557,27.24111533262887,3.568093385214008,0.302,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1050,573.0,2147.0,0.04888268156424581,27.567302239394646,3.1527165932452275,0.305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1064,442.0,1962.0,0.04601769911504425,28.454309707031,3.640074211502783,0.288,"{""type"":""MultiPoint"",""coordinates"":[]}"
