system:index,B8,GVI,MSR,NDGI,RDVI,estimateLAI,.geo
0_2,2302.0,1.3418107833163786,0.5749931581679529,0.02878074306645735,24.17605703472198,0.832,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33,2875.0,2.818061088977424,1.0038371012863345,0.02518720217835262,36.02839701202258,1.358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38,2344.0,2.1253333333333333,0.7170986206260764,-0.02912621359223301,27.647493199504172,1.052,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_39,2011.0,1.5106117353308366,0.6288137710590357,0.027581783194355357,23.811655633809107,1.147,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_62,1916.0,2.7865612648221343,1.056594411630897,0.05526590198123045,30.058118742224284,1.177,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_114,4025.0,1.4482968369829683,0.5400755325131329,-0.015863513917988625,30.775778616604185,1.328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_127,2270.0,2.5579937304075235,0.9386279028465893,0.027375201288244767,31.076465283272412,1.217,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_148,4197.0,1.2822185970636215,0.5625414479668406,0.03372681281618887,32.21715743615069,1.224,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_154,3179.0,2.185370741482966,0.8216398127828832,0.02044989775051125,34.53073305419174,1.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_175,2061.0,1.7590361445783134,0.6478516376673131,-0.00796812749003984,24.518078436385792,0.773,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_180,2166.0,2.0854700854700856,0.6848721712016156,-0.041638225255972695,25.92375958513067,0.814,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_201,2304.0,1.965250965250965,0.7527121840165316,0.01768172888015717,28.12007651731912,0.865,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_212,2833.0,2.6181353767560664,1.0146312950548364,0.05739365293720459,35.92932188417085,1.358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_250,2789.0,2.3321385902031064,0.8199866878477416,-0.0029779630732578916,32.31118062343263,1.263,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_264,2646.0,2.4633507853403143,0.9264163474957896,0.034529451591062965,33.352381676591584,1.178,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_301,2465.0,3.067656765676568,1.0440073634150429,0.013377926421404682,33.92311032430969,1.227,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_407,2528.0,3.192371475953565,1.1478218469257142,0.04778453518679409,35.70031307574364,1.217,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_417,2894.0,1.5231037489102004,0.5747580437373033,-0.00864304235090752,27.100408845008396,0.905,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_421,2345.0,2.3692528735632186,0.7099532594857484,-0.07076101468624833,27.5053740018775,0.752,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_449,2697.0,3.0133928571428568,1.0230087720160832,0.009767092411720512,35.17978683375801,1.19,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_485,2538.0,2.6782608695652175,0.9898337562558087,0.03681442524417731,33.64511886258927,1.263,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_509,2552.0,2.030878859857482,0.7577224973595721,0.009592326139088728,29.69688989423256,1.263,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_553,4227.0,1.2282551396942543,0.6020251300476498,0.07054176072234764,33.66299362710799,1.243,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_604,2627.0,2.6284530386740332,1.0197011032783665,0.05847953216374269,34.67228326989241,1.362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_616,2866.0,2.958563535911602,1.0063102698427293,0.008356545961002786,36.01019978479825,1.162,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_630,2286.0,2.3967310549777117,0.7635770699441102,-0.04403409090909091,28.21866313903829,0.778,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_639,2399.0,2.736760124610592,0.9285693777930937,-0.002331002331002331,31.79122516311504,1.091,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_666,1639.0,1.1175710594315245,0.28603458922462077,-0.12294617563739377,12.635636730665915,0.168,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_674,2098.0,2.1739788199697427,0.5879655586267025,-0.1145344943067649,23.388366759111314,0.635,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_680,2193.0,1.0457089552238807,0.3023270266928949,-0.09344608879492601,15.24329372026731,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_687,2564.0,1.9369988545246275,0.7747893254910988,0.034973325429756966,30.109824632043438,1.303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_721,3186.0,1.4813084112149535,0.6348757726342112,0.03715670436187399,30.136115755329826,0.852,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_742,1972.0,0.9409448818897639,0.3575679188186524,-0.02588686481303931,16.35411068282733,0.569,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_784,2564.0,2.8789712556732225,1.0917520458124117,0.060144346431435444,35.242849100185026,1.255,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_823,2519.0,2.7429420505200595,0.8351149988007643,-0.05277973258268825,30.984464446509914,1.034,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_826,1807.0,1.2672521957340024,0.3284007066770177,-0.12465678198791873,14.71606940364992,0.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_847,2432.0,1.0165837479270317,0.34518541826909854,-0.05411764705882353,17.705691893392046,0.698,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_856,2491.0,1.5418367346938777,0.44017530619465073,-0.10132966529115085,21.23043360232142,0.707,"{""type"":""MultiPoint"",""coordinates"":[]}"
